NAME_2,delta_ssp2_2050,delta_ssp2_2085,delta_ssp5_2050,delta_ssp5_2085
Analamanga,0.00318182056600413,-0.0277272733775051,-0.0363636341961946,-0.0427272590723904
Bongolava,-0.0600000101587046,-0.0700000058049741,-0.0578260940054189,-0.0626087085060452
Itasy,-0.0262499898672104,-1.49011611938477e-08,-0.043749988079071,-0.010000005364418
Vakinankaratra,-0.0415384677740243,-0.0376923130108759,-0.026923078757066,-0.0373077025780311
Diana,0.0220000088214873,-0.00300000309944148,0.0163333396116891,-0.029333339134852
Sava,-0.000454536893151003,-0.0313636470924725,0.00772727890448133,-0.042727294293317
Amoron'i mania,-0.00263160780856486,-0.00736844539642334,-0.0189473817222998,-0.0189473817222998
Atsimo-Atsinana,0.0375000337759654,-0.0162500043710072,-0.0166666656732559,-0.0412500103314717
Haute matsiatra,0.0219999909400941,0.009666661421458,0.00233333110809331,-0.0169999917348225
Ihorombe,-0.00500000351005125,-0.0147222363286548,-0.0227777875132031,-0.0569444414642122
Vatovavy Fitovinany,-0.0885185268190172,-0.124814828236898,-0.118148159097742,-0.125555572686372
Betsiboka,-0.0351219831443415,-0.0714634206236862,-0.0478048978782282,-0.0824390344503447
Boeny,-0.076842138641759,-0.0996052748278569,-0.0639474078228601,-0.127105258013073
Melaky,-0.0688888988797627,-0.0692063570022583,-0.0301587543790303,-0.0925396794364566
Sofia,-0.0036619784126819,-0.019647888734307,-0.013521134013861,-0.0318309790651563
Alaotra-Mangoro,-0.00952382598604462,-0.0302381146521795,-0.0276190468243189,-0.0350000205494108
Analanjirofo,-0.0355172362820857,-0.0555172459832554,-0.0210344544772445,-0.085862081626366
Atsinanana,-0.0386666814486185,-0.061666699250539,-0.0413333376248677,-0.0683333675066631
Androy,0.00107144457953323,-0.00821427362305771,-0.023928574153355,-0.0803571556295666
Anosy,-0.0225641024418366,-0.0448718009850917,-0.0525641166246853,-0.0969230761894813
Atsimo-Andrefana,0.00783504407430424,0.013402049074468,0.0269072129554355,-0.0243298995126153
Menabe,-0.00547946969123725,-0.00438359012342482,-0.00315069988982319,-0.0280821943936282
