NAME_2,y1985,y1986,y1987,y1988,y1989,y1990,y1991,y1992,y1993,y1994,y1995,y1996,y1997,y1998,y1999,y2000,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017,y2018,y2019,y2020,y2021,y2022,y2023,y2024,y2025,y2026,y2027,y2028,y2029,y2030,y2031,y2032,y2033,y2034,y2035,y2036,y2037,y2038,y2039,y2040,y2041,y2042,y2043,y2044,y2045,y2046,y2047,y2048,y2049,y2050,y2051,y2052,y2053,y2054,y2055,y2056,y2057,y2058,y2059,y2060,y2061,y2062,y2063,y2064,y2065,y2066,y2067,y2068,y2069,y2070,y2071,y2072,y2073,y2074,y2075,y2076,y2077,y2078,y2079,y2080,y2081,y2082,y2083,y2084,y2085
Analamanga,0.882482,0.882482,0.882482,0.882482,0.882482,0.882482,0.882482,0.882482,0.882482,0.882482,0.882482,0.882482,0.882482,0.882482,0.882482,0.882482,0.882482,0.882482,0.882482,0.882482,0.882482,0.882482,0.882482,0.882482,0.882482,0.882482,0.882482,0.882482,0.882482,0.882482,0.882482,0.882482,0.882482,0.882482,0.882482,0.882482,0.882482,0.882482,0.882482,0.882482,0.882482,0.878946,0.875410,0.871874,0.868339,0.864803,0.861267,0.857731,0.854196,0.850660,0.847124,0.843588,0.840053,0.836517,0.832981,0.829445,0.825909,0.822374,0.818838,0.815302,0.811766,0.808231,0.804695,0.801159,0.797623,0.794088,0.792418,0.790748,0.789078,0.787408,0.785738,0.784068,0.782398,0.780728,0.779058,0.777388,0.775718,0.774048,0.772378,0.770708,0.769038,0.767368,0.765698,0.764028,0.762358,0.760688,0.759018,0.757348,0.755678,0.754008,0.752338,0.750668,0.748998,0.747328,0.745658,0.743988,0.742318,0.740648,0.738978,0.737308,0.735638
Bongolava,0.870810,0.870810,0.870810,0.870810,0.870810,0.870810,0.870810,0.870810,0.870810,0.870810,0.870810,0.870810,0.870810,0.870810,0.870810,0.870810,0.870810,0.870810,0.870810,0.870810,0.870810,0.870810,0.870810,0.870810,0.870810,0.870810,0.870810,0.870810,0.870810,0.870810,0.870810,0.870810,0.870810,0.870810,0.870810,0.870810,0.870810,0.870810,0.870810,0.870810,0.870810,0.865974,0.861138,0.856302,0.851466,0.846630,0.841794,0.836958,0.832122,0.827287,0.822451,0.817615,0.812779,0.807943,0.803107,0.798271,0.793435,0.788599,0.783764,0.778928,0.774092,0.769256,0.764420,0.759584,0.754748,0.749912,0.748840,0.747767,0.746695,0.745622,0.744550,0.743477,0.742404,0.741332,0.740259,0.739187,0.738114,0.737042,0.735969,0.734896,0.733824,0.732751,0.731679,0.730606,0.729534,0.728461,0.727388,0.726316,0.725243,0.724171,0.723098,0.722026,0.720953,0.719881,0.718808,0.717735,0.716663,0.715590,0.714518,0.713445,0.712373
Itasy,0.840839,0.840839,0.840839,0.840839,0.840839,0.840839,0.840839,0.840839,0.840839,0.840839,0.840839,0.840839,0.840839,0.840839,0.840839,0.840839,0.840839,0.840839,0.840839,0.840839,0.840839,0.840839,0.840839,0.840839,0.840839,0.840839,0.840839,0.840839,0.840839,0.840839,0.840839,0.840839,0.840839,0.840839,0.840839,0.840839,0.840839,0.840839,0.840839,0.840839,0.840839,0.834939,0.829039,0.823140,0.817240,0.811340,0.805441,0.799541,0.793641,0.787741,0.781842,0.775942,0.770042,0.764143,0.758243,0.752343,0.746444,0.740544,0.734644,0.728745,0.722845,0.716945,0.711046,0.705146,0.699246,0.693347,0.691726,0.690106,0.688485,0.686865,0.685244,0.683624,0.682003,0.680383,0.678762,0.677142,0.675521,0.673901,0.672281,0.670660,0.669040,0.667419,0.665799,0.664178,0.662558,0.660937,0.659317,0.657696,0.656076,0.654456,0.652835,0.651215,0.649594,0.647974,0.646353,0.644733,0.643112,0.641492,0.639871,0.638251,0.636630
Vakinankaratra,0.898923,0.898923,0.898923,0.898923,0.898923,0.898923,0.898923,0.898923,0.898923,0.898923,0.898923,0.898923,0.898923,0.898923,0.898923,0.898923,0.898923,0.898923,0.898923,0.898923,0.898923,0.898923,0.898923,0.898923,0.898923,0.898923,0.898923,0.898923,0.898923,0.898923,0.898923,0.898923,0.898923,0.898923,0.898923,0.898923,0.898923,0.898923,0.898923,0.898923,0.898923,0.896214,0.893505,0.890795,0.888086,0.885377,0.882667,0.879958,0.877249,0.874539,0.871830,0.869121,0.866411,0.863702,0.860993,0.858283,0.855574,0.852865,0.850155,0.847446,0.844737,0.842027,0.839318,0.836609,0.833899,0.831190,0.830022,0.828854,0.827687,0.826519,0.825351,0.824183,0.823016,0.821848,0.820680,0.819512,0.818344,0.817177,0.816009,0.814841,0.813673,0.812506,0.811338,0.810170,0.809002,0.807834,0.806667,0.805499,0.804331,0.803163,0.801995,0.800828,0.799660,0.798492,0.797324,0.796157,0.794989,0.793821,0.792653,0.791485,0.790318
Diana,0.949112,0.949112,0.949112,0.949112,0.949112,0.949112,0.949112,0.949112,0.949112,0.949112,0.949112,0.949112,0.949112,0.949112,0.949112,0.949112,0.949112,0.949112,0.949112,0.949112,0.949112,0.949112,0.949112,0.949112,0.949112,0.949112,0.949112,0.949112,0.949112,0.949112,0.949112,0.949112,0.949112,0.949112,0.949112,0.949112,0.949112,0.949112,0.949112,0.949112,0.949112,0.948908,0.948704,0.948500,0.948297,0.948093,0.947889,0.947685,0.947481,0.947277,0.947073,0.946869,0.946665,0.946461,0.946257,0.946053,0.945850,0.945646,0.945442,0.945238,0.945034,0.944830,0.944626,0.944422,0.944218,0.944014,0.943542,0.943071,0.942599,0.942127,0.941655,0.941183,0.940711,0.940239,0.939767,0.939295,0.938824,0.938352,0.937880,0.937408,0.936936,0.936464,0.935992,0.935520,0.935049,0.934577,0.934105,0.933633,0.933161,0.932689,0.932217,0.931745,0.931274,0.930802,0.930330,0.929858,0.929386,0.928914,0.928442,0.927970,0.927498
Sava,0.965898,0.965898,0.965898,0.965898,0.965898,0.965898,0.965898,0.965898,0.965898,0.965898,0.965898,0.965898,0.965898,0.965898,0.965898,0.965898,0.965898,0.965898,0.965898,0.965898,0.965898,0.965898,0.965898,0.965898,0.965898,0.965898,0.965898,0.965898,0.965898,0.965898,0.965898,0.965898,0.965898,0.965898,0.965898,0.965898,0.965898,0.965898,0.965898,0.965898,0.965898,0.965733,0.965569,0.965404,0.965240,0.965075,0.964911,0.964746,0.964582,0.964417,0.964253,0.964088,0.963924,0.963759,0.963594,0.963430,0.963265,0.963101,0.962936,0.962772,0.962607,0.962443,0.962278,0.962114,0.961949,0.961784,0.961422,0.961060,0.960697,0.960335,0.959972,0.959610,0.959247,0.958885,0.958522,0.958160,0.957798,0.957435,0.957073,0.956710,0.956348,0.955985,0.955623,0.955260,0.954898,0.954535,0.954173,0.953811,0.953448,0.953086,0.952723,0.952361,0.951998,0.951636,0.951273,0.950911,0.950549,0.950186,0.949824,0.949461,0.949099
Amoron'i mania,0.920358,0.920358,0.920358,0.920358,0.920358,0.920358,0.920358,0.920358,0.920358,0.920358,0.920358,0.920358,0.920358,0.920358,0.920358,0.920358,0.920358,0.920358,0.920358,0.920358,0.920358,0.920358,0.920358,0.920358,0.920358,0.920358,0.920358,0.920358,0.920358,0.920358,0.920358,0.920358,0.920358,0.920358,0.920358,0.920358,0.920358,0.920358,0.920358,0.920358,0.920358,0.919490,0.918623,0.917756,0.916889,0.916022,0.915154,0.914287,0.913420,0.912553,0.911686,0.910818,0.909951,0.909084,0.908217,0.907350,0.906482,0.905615,0.904748,0.903881,0.903013,0.902146,0.901279,0.900412,0.899545,0.898677,0.898093,0.897508,0.896923,0.896339,0.895754,0.895169,0.894585,0.894000,0.893415,0.892831,0.892246,0.891661,0.891077,0.890492,0.889907,0.889322,0.888738,0.888153,0.887568,0.886984,0.886399,0.885814,0.885230,0.884645,0.884060,0.883476,0.882891,0.882306,0.881722,0.881137,0.880552,0.879967,0.879383,0.878798,0.878213
Atsimo-Atsinana,0.978709,0.978709,0.978709,0.978709,0.978709,0.978709,0.978709,0.978709,0.978709,0.978709,0.978709,0.978709,0.978709,0.978709,0.978709,0.978709,0.978709,0.978709,0.978709,0.978709,0.978709,0.978709,0.978709,0.978709,0.978709,0.978709,0.978709,0.978709,0.978709,0.978709,0.978709,0.978709,0.978709,0.978709,0.978709,0.978709,0.978709,0.978709,0.978709,0.978709,0.978709,0.977815,0.976920,0.976025,0.975131,0.974236,0.973341,0.972447,0.971552,0.970657,0.969763,0.968868,0.967973,0.967079,0.966184,0.965289,0.964394,0.963500,0.962605,0.961710,0.960816,0.959921,0.959026,0.958132,0.957237,0.956342,0.956146,0.955951,0.955755,0.955559,0.955363,0.955167,0.954971,0.954775,0.954579,0.954383,0.954188,0.953992,0.953796,0.953600,0.953404,0.953208,0.953012,0.952816,0.952620,0.952425,0.952229,0.952033,0.951837,0.951641,0.951445,0.951249,0.951053,0.950857,0.950662,0.950466,0.950270,0.950074,0.949878,0.949682,0.949486
Haute matsiatra,0.901428,0.901428,0.901428,0.901428,0.901428,0.901428,0.901428,0.901428,0.901428,0.901428,0.901428,0.901428,0.901428,0.901428,0.901428,0.901428,0.901428,0.901428,0.901428,0.901428,0.901428,0.901428,0.901428,0.901428,0.901428,0.901428,0.901428,0.901428,0.901428,0.901428,0.901428,0.901428,0.901428,0.901428,0.901428,0.901428,0.901428,0.901428,0.901428,0.901428,0.901428,0.900402,0.899376,0.898350,0.897323,0.896297,0.895271,0.894245,0.893219,0.892192,0.891166,0.890140,0.889114,0.888088,0.887061,0.886035,0.885009,0.883983,0.882957,0.881930,0.880904,0.879878,0.878852,0.877826,0.876799,0.875773,0.874814,0.873854,0.872895,0.871935,0.870975,0.870016,0.869056,0.868097,0.867137,0.866178,0.865218,0.864259,0.863299,0.862340,0.861380,0.860420,0.859461,0.858501,0.857542,0.856582,0.855623,0.854663,0.853704,0.852744,0.851785,0.850825,0.849865,0.848906,0.847946,0.846987,0.846027,0.845068,0.844108,0.843149,0.842189
Ihorombe,0.875264,0.875264,0.875264,0.875264,0.875264,0.875264,0.875264,0.875264,0.875264,0.875264,0.875264,0.875264,0.875264,0.875264,0.875264,0.875264,0.875264,0.875264,0.875264,0.875264,0.875264,0.875264,0.875264,0.875264,0.875264,0.875264,0.875264,0.875264,0.875264,0.875264,0.875264,0.875264,0.875264,0.875264,0.875264,0.875264,0.875264,0.875264,0.875264,0.875264,0.875264,0.873041,0.870818,0.868595,0.866371,0.864148,0.861925,0.859702,0.857479,0.855256,0.853033,0.850810,0.848587,0.846364,0.844141,0.841917,0.839694,0.837471,0.835248,0.833025,0.830802,0.828579,0.826356,0.824133,0.821910,0.819687,0.819237,0.818788,0.818338,0.817889,0.817440,0.816990,0.816541,0.816092,0.815642,0.815193,0.814743,0.814294,0.813845,0.813395,0.812946,0.812497,0.812047,0.811598,0.811148,0.810699,0.810250,0.809800,0.809351,0.808901,0.808452,0.808003,0.807553,0.807104,0.806655,0.806205,0.805756,0.805306,0.804857,0.804408,0.803958
