NAME_2,y1985,y1986,y1987,y1988,y1989,y1990,y1991,y1992,y1993,y1994,y1995,y1996,y1997,y1998,y1999,y2000,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017,y2018,y2019,y2020,y2021,y2022,y2023,y2024,y2025,y2026,y2027,y2028,y2029,y2030,y2031,y2032,y2033,y2034,y2035,y2036,y2037,y2038,y2039,y2040,y2041,y2042,y2043,y2044,y2045,y2046,y2047,y2048,y2049,y2050,y2051,y2052,y2053,y2054,y2055,y2056,y2057,y2058,y2059,y2060,y2061,y2062,y2063,y2064,y2065,y2066,y2067,y2068,y2069,y2070,y2071,y2072,y2073,y2074,y2075,y2076,y2077,y2078,y2079,y2080,y2081,y2082,y2083,y2084,y2085
Analamanga,0.868655,0.868655,0.868655,0.868655,0.868655,0.868655,0.868655,0.868655,0.868655,0.868655,0.868655,0.868655,0.868655,0.868655,0.868655,0.868655,0.868655,0.868655,0.868655,0.868655,0.868655,0.868655,0.868655,0.868655,0.868655,0.868655,0.868655,0.868655,0.868655,0.868655,0.868655,0.868655,0.868655,0.868655,0.868655,0.868655,0.868655,0.868655,0.868655,0.868655,0.868655,0.862748,0.856842,0.850935,0.845029,0.839123,0.833216,0.827310,0.821404,0.815497,0.809591,0.803685,0.797778,0.791872,0.785966,0.780059,0.774153,0.768247,0.762340,0.756434,0.750528,0.744621,0.738715,0.732809,0.726902,0.720996,0.719140,0.717285,0.715429,0.713573,0.711717,0.709862,0.708006,0.706150,0.704294,0.702439,0.700583,0.698727,0.696871,0.695016,0.693160,0.691304,0.689449,0.687593,0.685737,0.683881,0.682026,0.680170,0.678314,0.676458,0.674603,0.672747,0.670891,0.669035,0.667180,0.665324,0.663468,0.661612,0.659757,0.657901,0.656045
Bongolava,0.829096,0.829096,0.829096,0.829096,0.829096,0.829096,0.829096,0.829096,0.829096,0.829096,0.829096,0.829096,0.829096,0.829096,0.829096,0.829096,0.829096,0.829096,0.829096,0.829096,0.829096,0.829096,0.829096,0.829096,0.829096,0.829096,0.829096,0.829096,0.829096,0.829096,0.829096,0.829096,0.829096,0.829096,0.829096,0.829096,0.829096,0.829096,0.829096,0.829096,0.829096,0.822765,0.816434,0.810103,0.803773,0.797442,0.791111,0.784780,0.778449,0.772118,0.765787,0.759457,0.753126,0.746795,0.740464,0.734133,0.727802,0.721472,0.715141,0.708810,0.702479,0.696148,0.689817,0.683486,0.677156,0.670825,0.669332,0.667839,0.666346,0.664853,0.663360,0.661867,0.660374,0.658881,0.657388,0.655895,0.654402,0.652909,0.651416,0.649923,0.648430,0.646937,0.645444,0.643952,0.642459,0.640966,0.639473,0.637980,0.636487,0.634994,0.633501,0.632008,0.630515,0.629022,0.627529,0.626036,0.624543,0.623050,0.621557,0.620064,0.618571
Itasy,0.795444,0.795444,0.795444,0.795444,0.795444,0.795444,0.795444,0.795444,0.795444,0.795444,0.795444,0.795444,0.795444,0.795444,0.795444,0.795444,0.795444,0.795444,0.795444,0.795444,0.795444,0.795444,0.795444,0.795444,0.795444,0.795444,0.795444,0.795444,0.795444,0.795444,0.795444,0.795444,0.795444,0.795444,0.795444,0.795444,0.795444,0.795444,0.795444,0.795444,0.795444,0.785504,0.775564,0.765624,0.755684,0.745744,0.735804,0.725864,0.715924,0.705984,0.696044,0.686104,0.676164,0.666224,0.656284,0.646344,0.636404,0.626464,0.616524,0.606584,0.596644,0.586704,0.576764,0.566824,0.556884,0.546944,0.546651,0.546358,0.546065,0.545772,0.545479,0.545186,0.544893,0.544600,0.544307,0.544014,0.543721,0.543428,0.543135,0.542842,0.542548,0.542255,0.541962,0.541669,0.541376,0.541083,0.540790,0.540497,0.540204,0.539911,0.539618,0.539325,0.539032,0.538739,0.538446,0.538152,0.537859,0.537566,0.537273,0.536980,0.536687
Vakinankaratra,0.871190,0.871190,0.871190,0.871190,0.871190,0.871190,0.871190,0.871190,0.871190,0.871190,0.871190,0.871190,0.871190,0.871190,0.871190,0.871190,0.871190,0.871190,0.871190,0.871190,0.871190,0.871190,0.871190,0.871190,0.871190,0.871190,0.871190,0.871190,0.871190,0.871190,0.871190,0.871190,0.871190,0.871190,0.871190,0.871190,0.871190,0.871190,0.871190,0.871190,0.871190,0.864935,0.858681,0.852426,0.846172,0.839917,0.833663,0.827408,0.821154,0.814899,0.808645,0.802390,0.796136,0.789881,0.783627,0.777372,0.771117,0.764863,0.758608,0.752354,0.746099,0.739845,0.733590,0.727336,0.721081,0.714827,0.714019,0.713211,0.712404,0.711596,0.710789,0.709981,0.709173,0.708366,0.707558,0.706750,0.705943,0.705135,0.704328,0.703520,0.702712,0.701905,0.701097,0.700289,0.699482,0.698674,0.697867,0.697059,0.696251,0.695444,0.694636,0.693829,0.693021,0.692213,0.691406,0.690598,0.689790,0.688983,0.688175,0.687368,0.686560
Diana,0.923267,0.923267,0.923267,0.923267,0.923267,0.923267,0.923267,0.923267,0.923267,0.923267,0.923267,0.923267,0.923267,0.923267,0.923267,0.923267,0.923267,0.923267,0.923267,0.923267,0.923267,0.923267,0.923267,0.923267,0.923267,0.923267,0.923267,0.923267,0.923267,0.923267,0.923267,0.923267,0.923267,0.923267,0.923267,0.923267,0.923267,0.923267,0.923267,0.923267,0.923267,0.922214,0.921162,0.920110,0.919057,0.918005,0.916952,0.915900,0.914848,0.913795,0.912743,0.911690,0.910638,0.909586,0.908533,0.907481,0.906428,0.905376,0.904324,0.903271,0.902219,0.901166,0.900114,0.899062,0.898009,0.896957,0.896011,0.895064,0.894118,0.893172,0.892225,0.891279,0.890333,0.889386,0.888440,0.887494,0.886547,0.885601,0.884655,0.883709,0.882762,0.881816,0.880870,0.879923,0.878977,0.878031,0.877084,0.876138,0.875192,0.874246,0.873299,0.872353,0.871407,0.870460,0.869514,0.868568,0.867621,0.866675,0.865729,0.864782,0.863836
Sava,0.948957,0.948957,0.948957,0.948957,0.948957,0.948957,0.948957,0.948957,0.948957,0.948957,0.948957,0.948957,0.948957,0.948957,0.948957,0.948957,0.948957,0.948957,0.948957,0.948957,0.948957,0.948957,0.948957,0.948957,0.948957,0.948957,0.948957,0.948957,0.948957,0.948957,0.948957,0.948957,0.948957,0.948957,0.948957,0.948957,0.948957,0.948957,0.948957,0.948957,0.948957,0.948753,0.948549,0.948346,0.948142,0.947938,0.947735,0.947531,0.947327,0.947124,0.946920,0.946716,0.946513,0.946309,0.946105,0.945902,0.945698,0.945494,0.945291,0.945087,0.944883,0.944680,0.944476,0.944272,0.944069,0.943865,0.943113,0.942362,0.941610,0.940859,0.940107,0.939356,0.938604,0.937853,0.937101,0.936350,0.935599,0.934847,0.934096,0.933344,0.932593,0.931841,0.931090,0.930338,0.929587,0.928835,0.928084,0.927332,0.926581,0.925829,0.925078,0.924326,0.923575,0.922823,0.922072,0.921320,0.920569,0.919817,0.919066,0.918314,0.917563
Amoron'i mania,0.842123,0.842123,0.842123,0.842123,0.842123,0.842123,0.842123,0.842123,0.842123,0.842123,0.842123,0.842123,0.842123,0.842123,0.842123,0.842123,0.842123,0.842123,0.842123,0.842123,0.842123,0.842123,0.842123,0.842123,0.842123,0.842123,0.842123,0.842123,0.842123,0.842123,0.842123,0.842123,0.842123,0.842123,0.842123,0.842123,0.842123,0.842123,0.842123,0.842123,0.842123,0.836548,0.830973,0.825398,0.819823,0.814248,0.808673,0.803098,0.797523,0.791948,0.786373,0.780798,0.775223,0.769648,0.764073,0.758498,0.752923,0.747348,0.741773,0.736198,0.730623,0.725048,0.719473,0.713898,0.708323,0.702748,0.701199,0.699650,0.698101,0.696551,0.695002,0.693453,0.691904,0.690355,0.688806,0.687257,0.685707,0.684158,0.682609,0.681060,0.679511,0.677962,0.676413,0.674863,0.673314,0.671765,0.670216,0.668667,0.667118,0.665569,0.664020,0.662470,0.660921,0.659372,0.657823,0.656274,0.654725,0.653176,0.651626,0.650077,0.648528
Atsimo-Atsinana,0.946931,0.946931,0.946931,0.946931,0.946931,0.946931,0.946931,0.946931,0.946931,0.946931,0.946931,0.946931,0.946931,0.946931,0.946931,0.946931,0.946931,0.946931,0.946931,0.946931,0.946931,0.946931,0.946931,0.946931,0.946931,0.946931,0.946931,0.946931,0.946931,0.946931,0.946931,0.946931,0.946931,0.946931,0.946931,0.946931,0.946931,0.946931,0.946931,0.946931,0.946931,0.944813,0.942695,0.940578,0.938460,0.936342,0.934225,0.932107,0.929989,0.927871,0.925754,0.923636,0.921518,0.919401,0.917283,0.915165,0.913047,0.910930,0.908812,0.906694,0.904576,0.902459,0.900341,0.898223,0.896106,0.893988,0.893245,0.892502,0.891759,0.891016,0.890273,0.889530,0.888787,0.888045,0.887302,0.886559,0.885816,0.885073,0.884330,0.883587,0.882844,0.882101,0.881358,0.880615,0.879872,0.879129,0.878386,0.877644,0.876901,0.876158,0.875415,0.874672,0.873929,0.873186,0.872443,0.871700,0.870957,0.870214,0.869471,0.868728,0.867986
Haute matsiatra,0.729652,0.729652,0.729652,0.729652,0.729652,0.729652,0.729652,0.729652,0.729652,0.729652,0.729652,0.729652,0.729652,0.729652,0.729652,0.729652,0.729652,0.729652,0.729652,0.729652,0.729652,0.729652,0.729652,0.729652,0.729652,0.729652,0.729652,0.729652,0.729652,0.729652,0.729652,0.729652,0.729652,0.729652,0.729652,0.729652,0.729652,0.729652,0.729652,0.729652,0.729652,0.723963,0.718275,0.712586,0.706897,0.701208,0.695519,0.689831,0.684142,0.678453,0.672764,0.667075,0.661387,0.655698,0.650009,0.644320,0.638631,0.632943,0.627254,0.621565,0.615876,0.610187,0.604499,0.598810,0.593121,0.587432,0.585135,0.582837,0.580540,0.578242,0.575945,0.573647,0.571350,0.569053,0.566755,0.564458,0.562160,0.559863,0.557565,0.555268,0.552970,0.550673,0.548376,0.546078,0.543781,0.541483,0.539186,0.536888,0.534591,0.532293,0.529996,0.527699,0.525401,0.523104,0.520806,0.518509,0.516211,0.513914,0.511616,0.509319,0.507022
Ihorombe,0.721863,0.721863,0.721863,0.721863,0.721863,0.721863,0.721863,0.721863,0.721863,0.721863,0.721863,0.721863,0.721863,0.721863,0.721863,0.721863,0.721863,0.721863,0.721863,0.721863,0.721863,0.721863,0.721863,0.721863,0.721863,0.721863,0.721863,0.721863,0.721863,0.721863,0.721863,0.721863,0.721863,0.721863,0.721863,0.721863,0.721863,0.721863,0.721863,0.721863,0.721863,0.716553,0.711242,0.705931,0.700621,0.695310,0.690000,0.684689,0.679379,0.674068,0.668758,0.663447,0.658136,0.652826,0.647515,0.642205,0.636894,0.631584,0.626273,0.620963,0.615652,0.610341,0.605031,0.599720,0.594410,0.589099,0.588227,0.587354,0.586481,0.585608,0.584736,0.583863,0.582990,0.582118,0.581245,0.580372,0.579499,0.578627,0.577754,0.576881,0.576009,0.575136,0.574263,0.573390,0.572518,0.571645,0.570772,0.569899,0.569027,0.568154,0.567281,0.566409,0.565536,0.564663,0.563790,0.562918,0.562045,0.561172,0.560300,0.559427,0.558554
