NAME_2,y1985,y1986,y1987,y1988,y1989,y1990,y1991,y1992,y1993,y1994,y1995,y1996,y1997,y1998,y1999,y2000,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017,y2018,y2019,y2020,y2021,y2022,y2023,y2024,y2025,y2026,y2027,y2028,y2029,y2030,y2031,y2032,y2033,y2034,y2035,y2036,y2037,y2038,y2039,y2040,y2041,y2042,y2043,y2044,y2045,y2046,y2047,y2048,y2049,y2050,y2051,y2052,y2053,y2054,y2055,y2056,y2057,y2058,y2059,y2060,y2061,y2062,y2063,y2064,y2065,y2066,y2067,y2068,y2069,y2070,y2071,y2072,y2073,y2074,y2075,y2076,y2077,y2078,y2079,y2080,y2081,y2082,y2083,y2084,y2085
Analamanga,0.873051,0.873051,0.873051,0.873051,0.873051,0.873051,0.873051,0.873051,0.873051,0.873051,0.873051,0.873051,0.873051,0.873051,0.873051,0.873051,0.873051,0.873051,0.873051,0.873051,0.873051,0.873051,0.873051,0.873051,0.873051,0.873051,0.873051,0.873051,0.873051,0.873051,0.873051,0.873051,0.873051,0.873051,0.873051,0.873051,0.873051,0.873051,0.873051,0.873051,0.873051,0.868048,0.863044,0.858041,0.853037,0.848034,0.843030,0.838027,0.833023,0.828020,0.823016,0.818013,0.813009,0.808006,0.803002,0.797999,0.792995,0.787992,0.782988,0.777985,0.772981,0.767978,0.762974,0.757971,0.752967,0.747964,0.747032,0.746101,0.745169,0.744237,0.743306,0.742374,0.741442,0.740511,0.739579,0.738647,0.737716,0.736784,0.735852,0.734921,0.733989,0.733057,0.732126,0.731194,0.730262,0.729331,0.728399,0.727467,0.726536,0.725604,0.724672,0.723741,0.722809,0.721877,0.720946,0.720014,0.719082,0.718151,0.717219,0.716287,0.715356
Bongolava,0.828353,0.828353,0.828353,0.828353,0.828353,0.828353,0.828353,0.828353,0.828353,0.828353,0.828353,0.828353,0.828353,0.828353,0.828353,0.828353,0.828353,0.828353,0.828353,0.828353,0.828353,0.828353,0.828353,0.828353,0.828353,0.828353,0.828353,0.828353,0.828353,0.828353,0.828353,0.828353,0.828353,0.828353,0.828353,0.828353,0.828353,0.828353,0.828353,0.828353,0.828353,0.822713,0.817073,0.811432,0.805792,0.800152,0.794512,0.788872,0.783232,0.777592,0.771951,0.766311,0.760671,0.755031,0.749391,0.743751,0.738110,0.732470,0.726830,0.721190,0.715550,0.709910,0.704269,0.698629,0.692989,0.687349,0.685953,0.684557,0.683162,0.681766,0.680370,0.678974,0.677578,0.676183,0.674787,0.673391,0.671995,0.670599,0.669204,0.667808,0.666412,0.665016,0.663621,0.662225,0.660829,0.659433,0.658037,0.656642,0.655246,0.653850,0.652454,0.651058,0.649663,0.648267,0.646871,0.645475,0.644080,0.642684,0.641288,0.639892,0.638496
Itasy,0.796735,0.796735,0.796735,0.796735,0.796735,0.796735,0.796735,0.796735,0.796735,0.796735,0.796735,0.796735,0.796735,0.796735,0.796735,0.796735,0.796735,0.796735,0.796735,0.796735,0.796735,0.796735,0.796735,0.796735,0.796735,0.796735,0.796735,0.796735,0.796735,0.796735,0.796735,0.796735,0.796735,0.796735,0.796735,0.796735,0.796735,0.796735,0.796735,0.796735,0.796735,0.788184,0.779633,0.771082,0.762531,0.753980,0.745429,0.736878,0.728327,0.719777,0.711226,0.702675,0.694124,0.685573,0.677022,0.668471,0.659920,0.651369,0.642818,0.634267,0.625716,0.617165,0.608614,0.600063,0.591512,0.582961,0.583071,0.583182,0.583292,0.583403,0.583513,0.583623,0.583734,0.583844,0.583955,0.584065,0.584175,0.584286,0.584396,0.584507,0.584617,0.584727,0.584838,0.584948,0.585059,0.585169,0.585279,0.585390,0.585500,0.585610,0.585721,0.585831,0.585942,0.586052,0.586162,0.586273,0.586383,0.586494,0.586604,0.586714,0.586825
Vakinankaratra,0.874650,0.874650,0.874650,0.874650,0.874650,0.874650,0.874650,0.874650,0.874650,0.874650,0.874650,0.874650,0.874650,0.874650,0.874650,0.874650,0.874650,0.874650,0.874650,0.874650,0.874650,0.874650,0.874650,0.874650,0.874650,0.874650,0.874650,0.874650,0.874650,0.874650,0.874650,0.874650,0.874650,0.874650,0.874650,0.874650,0.874650,0.874650,0.874650,0.874650,0.874650,0.869143,0.863636,0.858130,0.852623,0.847116,0.841609,0.836102,0.830595,0.825088,0.819582,0.814075,0.808568,0.803061,0.797554,0.792047,0.786541,0.781034,0.775527,0.770020,0.764513,0.759006,0.753499,0.747993,0.742486,0.736979,0.736048,0.735117,0.734186,0.733255,0.732324,0.731394,0.730463,0.729532,0.728601,0.727670,0.726739,0.725808,0.724877,0.723947,0.723016,0.722085,0.721154,0.720223,0.719292,0.718361,0.717431,0.716500,0.715569,0.714638,0.713707,0.712776,0.711845,0.710914,0.709984,0.709053,0.708122,0.707191,0.706260,0.705329,0.704398
Diana,0.795720,0.795720,0.795720,0.795720,0.795720,0.795720,0.795720,0.795720,0.795720,0.795720,0.795720,0.795720,0.795720,0.795720,0.795720,0.795720,0.795720,0.795720,0.795720,0.795720,0.795720,0.795720,0.795720,0.795720,0.795720,0.795720,0.795720,0.795720,0.795720,0.795720,0.795720,0.795720,0.795720,0.795720,0.795720,0.795720,0.795720,0.795720,0.795720,0.795720,0.795720,0.794627,0.793535,0.792442,0.791350,0.790257,0.789164,0.788072,0.786979,0.785887,0.784794,0.783702,0.782609,0.781516,0.780424,0.779331,0.778239,0.777146,0.776053,0.774961,0.773868,0.772776,0.771683,0.770590,0.769498,0.768405,0.765901,0.763396,0.760891,0.758387,0.755882,0.753377,0.750873,0.748368,0.745864,0.743359,0.740854,0.738350,0.735845,0.733340,0.730836,0.728331,0.725827,0.723322,0.720817,0.718313,0.715808,0.713303,0.710799,0.708294,0.705789,0.703285,0.700780,0.698276,0.695771,0.693266,0.690762,0.688257,0.685752,0.683248,0.680743
Sava,0.858097,0.858097,0.858097,0.858097,0.858097,0.858097,0.858097,0.858097,0.858097,0.858097,0.858097,0.858097,0.858097,0.858097,0.858097,0.858097,0.858097,0.858097,0.858097,0.858097,0.858097,0.858097,0.858097,0.858097,0.858097,0.858097,0.858097,0.858097,0.858097,0.858097,0.858097,0.858097,0.858097,0.858097,0.858097,0.858097,0.858097,0.858097,0.858097,0.858097,0.858097,0.858828,0.859560,0.860292,0.861023,0.861755,0.862486,0.863218,0.863950,0.864681,0.865413,0.866145,0.866876,0.867608,0.868340,0.869071,0.869803,0.870535,0.871266,0.871998,0.872729,0.873461,0.874193,0.874924,0.875656,0.876388,0.874587,0.872786,0.870986,0.869185,0.867384,0.865584,0.863783,0.861982,0.860182,0.858381,0.856580,0.854780,0.852979,0.851178,0.849378,0.847577,0.845776,0.843976,0.842175,0.840374,0.838574,0.836773,0.834972,0.833172,0.831371,0.829570,0.827770,0.825969,0.824168,0.822368,0.820567,0.818766,0.816966,0.815165,0.813364
Amoron'i mania,0.800517,0.800517,0.800517,0.800517,0.800517,0.800517,0.800517,0.800517,0.800517,0.800517,0.800517,0.800517,0.800517,0.800517,0.800517,0.800517,0.800517,0.800517,0.800517,0.800517,0.800517,0.800517,0.800517,0.800517,0.800517,0.800517,0.800517,0.800517,0.800517,0.800517,0.800517,0.800517,0.800517,0.800517,0.800517,0.800517,0.800517,0.800517,0.800517,0.800517,0.800517,0.796271,0.792024,0.787778,0.783531,0.779284,0.775038,0.770791,0.766545,0.762298,0.758051,0.753805,0.749558,0.745312,0.741065,0.736819,0.732572,0.728325,0.724079,0.719832,0.715586,0.711339,0.707093,0.702846,0.698599,0.694353,0.692957,0.691561,0.690165,0.688769,0.687373,0.685977,0.684581,0.683185,0.681789,0.680393,0.678997,0.677601,0.676205,0.674809,0.673413,0.672017,0.670621,0.669225,0.667829,0.666433,0.665037,0.663641,0.662245,0.660849,0.659453,0.658057,0.656661,0.655265,0.653869,0.652473,0.651077,0.649681,0.648285,0.646889,0.645493
Atsimo-Atsinana,0.933703,0.933703,0.933703,0.933703,0.933703,0.933703,0.933703,0.933703,0.933703,0.933703,0.933703,0.933703,0.933703,0.933703,0.933703,0.933703,0.933703,0.933703,0.933703,0.933703,0.933703,0.933703,0.933703,0.933703,0.933703,0.933703,0.933703,0.933703,0.933703,0.933703,0.933703,0.933703,0.933703,0.933703,0.933703,0.933703,0.933703,0.933703,0.933703,0.933703,0.933703,0.931806,0.929909,0.928013,0.926116,0.924220,0.922323,0.920427,0.918530,0.916634,0.914737,0.912841,0.910944,0.909048,0.907151,0.905255,0.903358,0.901462,0.899565,0.897669,0.895772,0.893875,0.891979,0.890082,0.888186,0.886289,0.885245,0.884201,0.883157,0.882113,0.881069,0.880025,0.878981,0.877937,0.876893,0.875849,0.874805,0.873761,0.872717,0.871673,0.870629,0.869585,0.868541,0.867497,0.866453,0.865409,0.864365,0.863321,0.862277,0.861233,0.860189,0.859145,0.858101,0.857057,0.856013,0.854969,0.853925,0.852881,0.851837,0.850793,0.849749
Haute matsiatra,0.704368,0.704368,0.704368,0.704368,0.704368,0.704368,0.704368,0.704368,0.704368,0.704368,0.704368,0.704368,0.704368,0.704368,0.704368,0.704368,0.704368,0.704368,0.704368,0.704368,0.704368,0.704368,0.704368,0.704368,0.704368,0.704368,0.704368,0.704368,0.704368,0.704368,0.704368,0.704368,0.704368,0.704368,0.704368,0.704368,0.704368,0.704368,0.704368,0.704368,0.704368,0.699593,0.694818,0.690044,0.685269,0.680494,0.675719,0.670944,0.666170,0.661395,0.656620,0.651845,0.647070,0.642296,0.637521,0.632746,0.627971,0.623196,0.618422,0.613647,0.608872,0.604097,0.599322,0.594548,0.589773,0.584998,0.583372,0.581746,0.580121,0.578495,0.576869,0.575243,0.573617,0.571991,0.570366,0.568740,0.567114,0.565488,0.563862,0.562236,0.560611,0.558985,0.557359,0.555733,0.554107,0.552482,0.550856,0.549230,0.547604,0.545978,0.544352,0.542727,0.541101,0.539475,0.537849,0.536223,0.534597,0.532972,0.531346,0.529720,0.528094
Ihorombe,0.713358,0.713358,0.713358,0.713358,0.713358,0.713358,0.713358,0.713358,0.713358,0.713358,0.713358,0.713358,0.713358,0.713358,0.713358,0.713358,0.713358,0.713358,0.713358,0.713358,0.713358,0.713358,0.713358,0.713358,0.713358,0.713358,0.713358,0.713358,0.713358,0.713358,0.713358,0.713358,0.713358,0.713358,0.713358,0.713358,0.713358,0.713358,0.713358,0.713358,0.713358,0.708974,0.704589,0.700205,0.695820,0.691436,0.687051,0.682667,0.678282,0.673898,0.669513,0.665129,0.660744,0.656360,0.651975,0.647591,0.643206,0.638822,0.634437,0.630053,0.625668,0.621284,0.616899,0.612515,0.608130,0.603746,0.602621,0.601496,0.600371,0.599246,0.598121,0.596996,0.595871,0.594746,0.593621,0.592496,0.591371,0.590246,0.589121,0.587996,0.586871,0.585746,0.584621,0.583496,0.582371,0.581246,0.580121,0.578996,0.577871,0.576746,0.575621,0.574496,0.573372,0.572247,0.571122,0.569997,0.568872,0.567747,0.566622,0.565497,0.564372
