Province,Region,Urbain_Masculin,Urbain_Feminin,Urbain_Total,Urbain_%,Rural_Masculin,Rural_Feminin,Rural_Total,Rural_%,Total_Masculin,Total_Feminin,Total_Total,Total_%
Antananarivo,Total,913763,966245,1880008,38,2699325,2693793,5393118,26,3613088,3660038,7273126,28.3
Antananarivo,Analamanga,663702,707433,1371135,72.9,1114167,1138623,2252790,41.8,1777869,1846056,3623925,49.8
Antananarivo,Vakinankaratra,152748,160233,312981,16.6,888162,878516,1766678,32.8,1040910,1038749,2079659,28.6
Antananarivo,Itasy,75405,76026,151431,8.1,378063,369055,747118,13.9,453468,445081,898549,12.4
Antananarivo,Bongolava,21908,22553,44461,2.4,318933,307599,626532,11.6,340841,330152,670993,9.2
Fianarantsoa,Total,287656,316020,603676,12.2,2253366,2313034,4566400,22,2541022,2629054,5170076,20.1
Fianarantsoa,Haute Matsiatra,117772,128841,246613,40.9,596712,601262,1197974,26.2,714484,730103,1444587,27.9
Fianarantsoa,Amoron'i Mania,52194,55525,107719,17.8,360298,369099,729397,16,412492,424624,837116,16.2
Fianarantsoa,Vatovavy Fitovinany,64497,72078,136575,22.6,639282,664800,1304082,28.6,703779,736878,1440657,27.9
Fianarantsoa,Ihorombe,18998,20558,39556,6.6,188879,188877,377756,8.3,207877,209435,417312,8.1
Fianarantsoa,Atsimo-Atsinana,34195,39018,73213,12.1,468195,488996,957191,21,502390,528014,1030404,19.9
Toamasina,Total,365793,398809,764602,15.5,1548269,1565621,3113890,15,1914062,1964430,3878492,15.1
Toamasina,Atsinanana,192897,214461,407358,53.3,531749,539365,1071114,34.4,724646,753826,1478472,38.1
Toamasina,Analanjirofo,86995,94988,181983,23.8,479508,488598,968106,31.1,566503,583586,1150089,29.7
Toamasina,Alaotra-Mangoro,85901,89360,175261,22.9,537012,537658,1074670,34.5,622913,627018,1249931,32.2
Mahajanga,Total,288574,311086,599660,12.1,1260252,1279213,2539465,12.2,1548826,1590299,3139125,12.2
Mahajanga,Boeny,159484,173612,333096,55.5,296555,299661,596216,23.5,456039,473273,929312,29.6
Mahajanga,Sofia,88372,93669,182041,30.4,655255,670295,1325550,52.2,743627,763964,1507591,48
Mahajanga,Betsiboka,24774,26125,50899,8.5,171266,171113,342379,13.5,196040,197238,393278,12.5
Mahajanga,Melaky,15944,17680,33624,5.6,137176,138144,275320,10.8,153120,155824,308944,9.8
Toliara,Total,279863,304265,584128,11.8,1774423,1841092,3615515,17.4,2054286,2145357,4199643,16.4
Toliara,Atsimo-Andrefana,121593,133400,254993,43.7,760265,782636,1542901,42.7,881858,916036,1797894,42.8
Toliara,Androy,41639,44678,86317,14.8,389949,423969,813918,22.5,431588,468647,900235,21.4
Toliara,Anosy,62191,68409,130600,22.4,335113,343338,678451,18.8,397304,411747,809051,19.3
Toliara,Menabe,54440,57778,112218,19.2,289096,291149,580245,16,343536,348927,692463,16.5
Antsiranana,Total,240817,270011,510828,10.3,746844,756062,1502906,7.2,987661,1026073,2013734,7.8
Antsiranana,Diana,140747,161491,302238,59.2,292230,295494,587724,39.1,432977,456985,889962,44.2
Antsiranana,Sava,100070,108520,208590,40.8,454614,460568,915182,60.9,554684,569088,1123772,55.8
MADAGASCAR,Total,2376466,2566436,4942902,100,10282479,10448815,20731294,100,12658945,13015251,25674196,100
