Year,MinAge,MaxAge,Births
1950,10,14,6.241
1950,15,19,161.271
1950,20,24,339.362
1950,25,29,348.18
1950,30,34,294.471
1950,35,39,194.096
1950,40,44,88.014
1950,45,49,26.72
1950,50,54,1.604
1955,10,14,6.132
1955,15,19,163.087
1955,20,24,339.934
1955,25,29,348.959
1955,30,34,293.807
1955,35,39,195.326
1955,40,44,86.856
1955,45,49,24.423
1955,50,54,1.495
1960,10,14,7.041
1960,15,19,165.528
1960,20,24,319.038
1960,25,29,341.739
1960,30,34,300.008
1960,35,39,197.206
1960,40,44,101.195
1960,45,49,27.526
1960,50,54,1.42
1965,10,14,10.398
1965,15,19,171.242
1965,20,24,300.911
1965,25,29,325.526
1965,30,34,299.096
1965,35,39,203.733
1965,40,44,107.405
1965,45,49,39.388
1965,50,54,2.441
1970,10,14,14.68
1970,15,19,187.636
1970,20,24,314.705
1970,25,29,289.613
1970,30,34,289.363
1970,35,39,194.001
1970,40,44,111.764
1970,45,49,38.679
1970,50,54,2.599
1975,10,14,12.489
1975,15,19,168.156
1975,20,24,292.553
1975,25,29,291.615
1975,30,34,268.333
1975,35,39,204.886
1975,40,44,114.787
1975,45,49,38.064
1975,50,54,2.396
1980,10,14,9.403
1980,15,19,141.342
1980,20,24,274.955
1980,25,29,282.613
1980,30,34,255.156
1980,35,39,202.836
1980,40,44,109.979
1980,45,49,33.754
1980,50,54,2.082
1985,10,14,8.278
1985,15,19,129.019
1985,20,24,267.292
1985,25,29,272.114
1985,30,34,247.499
1985,35,39,193.56
1985,40,44,105.26
1985,45,49,28.88
1985,50,54,1.639
1990,10,14,9.674
1990,15,19,136.722
1990,20,24,262.031
1990,25,29,266.671
1990,30,34,234.69
1990,35,39,179.278
1990,40,44,98.732
1990,45,49,26.554
1990,50,54,1.428
1995,10,14,11.247
1995,15,19,146.059
1995,20,24,259.746
1995,25,29,250.242
1995,30,34,216.531
1995,35,39,157.822
1995,40,44,86.873
1995,45,49,24.496
1995,50,54,1.364
2000,10,14,11.792
2000,15,19,144.421
2000,20,24,239.238
2000,25,29,230.522
2000,30,34,189.944
2000,35,39,140.541
2000,40,44,73.903
2000,45,49,18.9
2000,50,54,0.979
2005,10,14,11.12
2005,15,19,141.622
2005,20,24,225.691
2005,25,29,218.246
2005,30,34,180.08
2005,35,39,133.201
2005,40,44,69.275
2005,45,49,17.878
2005,50,54,0.868
2010,10,14,10.387
2010,15,19,136.053
2010,20,24,201.859
2010,25,29,198.393
2010,30,34,159.905
2010,35,39,112.07
2010,40,44,60.607
2010,45,49,17.224
2010,50,54,0.881
2015,10,14,9.453
2015,15,19,127.083
2015,20,24,186.145
2015,25,29,183.903
2015,30,34,143.599
2015,35,39,102.493
2015,40,44,51.137
2015,45,49,14.529
2015,50,54,0.719
2020,15,19,97.752
2020,20,24,180.352
2020,25,29,190.717
2020,30,34,139.565
2020,35,39,91.719
2020,40,44,43.642
2020,45,49,10.061
2025,15,19,87.948
2025,20,24,165.363
2025,25,29,178.946
2025,30,34,125.698
2025,35,39,78.415
2025,40,44,37.188
2025,45,49,8.766
2030,15,19,78.613
2030,20,24,150.971
2030,25,29,167.075
2030,30,34,114.001
2030,35,39,67.193
2030,40,44,30.29
2030,45,49,7.195
2035,15,19,70.336
2035,20,24,138.253
2035,25,29,156.67
2035,30,34,103.85
2035,35,39,58.495
2035,40,44,24.846
2035,45,49,5.656
2040,15,19,63.793
2040,20,24,128.623
2040,25,29,149.3
2040,30,34,96.48
2040,35,39,51.87
2040,40,44,21.016
2040,45,49,4.54
2045,15,19,57.759
2045,20,24,119.745
2045,25,29,142.437
2045,30,34,90.027
2045,35,39,46.23
2045,40,44,17.797
2045,45,49,3.69
2050,15,19,52.004
2050,20,24,111.069
2050,25,29,135.373
2050,30,34,84.14
2050,35,39,41.351
2050,40,44,15.107
2050,45,49,2.989
2055,15,19,47.455
2055,20,24,104.334
2055,25,29,130.246
2055,30,34,80.14
2055,35,39,37.913
2055,40,44,13.16
2055,45,49,2.479
2060,15,19,43.0
2060,20,24,97.341
2060,25,29,124.345
2060,30,34,76.178
2060,35,39,34.9
2060,40,44,11.549
2060,45,49,2.064
2065,15,19,38.966
2065,20,24,90.913
2065,25,29,118.763
2065,30,34,72.823
2065,35,39,32.5
2065,40,44,10.296
2065,45,49,1.746
2070,15,19,35.389
2070,20,24,84.817
2070,25,29,113.299
2070,30,34,69.936
2070,35,39,30.612
2070,40,44,9.338
2070,45,49,1.507
2075,15,19,32.708
2075,20,24,80.546
2075,25,29,110.015
2075,30,34,68.639
2075,35,39,29.607
2075,40,44,8.728
2075,45,49,1.344
2080,15,19,30.834
2080,20,24,78.199
2080,25,29,109.234
2080,30,34,69.069
2080,35,39,29.458
2080,40,44,8.415
2080,45,49,1.238
2085,15,19,29.173
2085,20,24,76.538
2085,25,29,109.323
2085,30,34,70.181
2085,35,39,29.668
2085,40,44,8.233
2085,45,49,1.159
2090,15,19,27.542
2090,20,24,75.643
2090,25,29,110.539
2090,30,34,72.064
2090,35,39,30.241
2090,40,44,8.164
2090,45,49,1.101
2095,15,19,25.897
2095,20,24,74.666
2095,25,29,111.607
2095,30,34,73.885
2095,35,39,30.816
2095,40,44,8.109
2095,45,49,1.047
