region,urban_frac,unskilled1,unskilled2,skilled
Bongolava,0.0663,0.0327,0.0199,0.0137
Atsimo Atsinanana,0.0711,0.035,0.0213,0.0147
Vatovavy Fitovinany,0.0948,0.0467,0.0284,0.0196
Ihorombe,0.0948,0.0467,0.0284,0.0196
Androy,0.0959,0.0473,0.0288,0.0198
Melaky,0.1088,0.0537,0.0327,0.0225
Sofia,0.1207,0.0595,0.0362,0.025
Amoron'i Mania,0.1287,0.0634,0.0386,0.0266
Betsiboka,0.1294,0.0638,0.0388,0.0268
Alaotra Mangoro,0.1402,0.0691,0.0421,0.029
Atsimo Andrefana,0.1418,0.0699,0.0425,0.0294
Vakinankaratra,0.1505,0.0742,0.0451,0.0312
Analanjirofo,0.1582,0.078,0.0475,0.0328
Anosy,0.1614,0.0796,0.0484,0.0334
Menabe,0.1621,0.0799,0.0486,0.0335
Itasy,0.1685,0.0831,0.0506,0.0349
Haute Matsiatra,0.1707,0.0842,0.0512,0.0353
Sava,0.1856,0.0915,0.0557,0.0384
Atsinanana,0.2755,0.1358,0.0827,0.057
Diana,0.3396,0.1674,0.1019,0.0703
Boeny,0.3584,0.1767,0.1075,0.0742
Analamanga,0.3784,0.1865,0.1135,0.0783
