,Analamanga,Bongolava,Itasy,Vakinankaratra,Diana,Sava,Amoron'i mania,Atsimo-Atsinana,Haute matsiatra,Ihorombe,Vatovavy Fitovinany,Betsiboka,Boeny,Melaky,Sofia,Alaotra-Mangoro,Analanjirofo,Atsinanana,Androy,Anosy,Atsimo-Andrefana,Menabe
Analamanga,1.0,0.768793,0.86427,0.739382,0.424257,0.380574,0.640161,0.193115,0.491692,0.314245,0.521024,0.892679,0.688987,0.480998,0.676811,0.905521,0.568907,0.736336,0.063809,0.150551,0.045213,0.283669
Bongolava,0.768793,1.0,0.925574,0.889755,0.519122,0.442392,0.830559,0.10541,0.661203,0.475095,0.348217,0.813806,0.7504,0.776442,0.698571,0.600442,0.39772,0.493,0.089055,0.194289,0.233965,0.654583
Itasy,0.86427,0.925574,1.0,0.925164,0.543914,0.453069,0.822033,0.192012,0.649927,0.446555,0.510052,0.791717,0.651725,0.602432,0.677221,0.697616,0.441214,0.615857,0.050654,0.194488,0.159779,0.501223
Vakinankaratra,0.739382,0.889755,0.925164,1.0,0.449197,0.366032,0.956949,0.311335,0.795331,0.579647,0.6221,0.730297,0.683573,0.695607,0.644941,0.603359,0.391936,0.60329,0.144703,0.298497,0.310688,0.655802
Diana,0.424257,0.519122,0.543914,0.449197,1.0,0.918699,0.335332,-0.014598,0.115349,0.03329,0.171238,0.491047,0.453196,0.221715,0.78875,0.305342,0.565103,0.302384,-0.035398,-0.010325,-0.146134,0.024692
Sava,0.380574,0.442392,0.453069,0.366032,0.918699,1.0,0.262581,-0.075756,0.031025,-0.067638,0.147695,0.447584,0.374019,0.147502,0.765415,0.349065,0.70432,0.342896,-0.176606,-0.130507,-0.258257,-0.057081
Amoron'i mania,0.640161,0.830559,0.822033,0.956949,0.335332,0.262581,1.0,0.434726,0.906804,0.7267,0.674882,0.654773,0.68121,0.736087,0.578886,0.515228,0.311601,0.55512,0.295775,0.450071,0.482365,0.731991
Atsimo-Atsinana,0.193115,0.10541,0.192012,0.311335,-0.014598,-0.075756,0.434726,1.0,0.617746,0.70871,0.784508,0.181232,0.221978,0.136103,0.149485,0.207199,0.089613,0.394196,0.725582,0.838915,0.41609,0.16979
Haute matsiatra,0.491692,0.661203,0.649927,0.795331,0.115349,0.031025,0.906804,0.617746,1.0,0.922221,0.711208,0.481083,0.579107,0.689017,0.388382,0.406093,0.167394,0.486201,0.534466,0.687241,0.709531,0.752727
Ihorombe,0.314245,0.475095,0.446555,0.579647,0.03329,-0.067638,0.7267,0.70871,0.922221,1.0,0.649926,0.290225,0.429628,0.575907,0.244972,0.257826,0.02406,0.362886,0.722923,0.848446,0.810106,0.658105
Vatovavy Fitovinany,0.521024,0.348217,0.510052,0.6221,0.171238,0.147695,0.674882,0.784508,0.711208,0.649926,1.0,0.440182,0.406759,0.248168,0.407207,0.54259,0.397015,0.732286,0.460123,0.608289,0.302982,0.239511
Betsiboka,0.892679,0.813806,0.791717,0.730297,0.491047,0.447584,0.654773,0.181232,0.481083,0.290225,0.440182,1.0,0.867314,0.585933,0.811882,0.816326,0.627903,0.659695,0.100812,0.148149,0.020099,0.356397
Boeny,0.688987,0.7504,0.651725,0.683573,0.453196,0.374019,0.68121,0.221978,0.579107,0.429628,0.406759,0.867314,1.0,0.780409,0.785441,0.607477,0.506576,0.503581,0.284147,0.264898,0.272415,0.532521
Melaky,0.480998,0.776442,0.602432,0.695607,0.221715,0.147502,0.736087,0.136103,0.689017,0.575907,0.248168,0.585933,0.780409,1.0,0.452703,0.383398,0.167521,0.292223,0.267106,0.314255,0.51155,0.858354
Sofia,0.676811,0.698571,0.677221,0.644941,0.78875,0.765415,0.578886,0.149485,0.388382,0.244972,0.407207,0.811882,0.785441,0.452703,1.0,0.641545,0.756973,0.586214,0.122105,0.140926,0.008131,0.227406
Alaotra-Mangoro,0.905521,0.600442,0.697616,0.603359,0.305342,0.349065,0.515228,0.207199,0.406093,0.257826,0.54259,0.816326,0.607477,0.383398,0.641545,1.0,0.73763,0.881742,0.076687,0.149789,0.035971,0.210214
Analanjirofo,0.568907,0.39772,0.441214,0.391936,0.565103,0.70432,0.311601,0.089613,0.167394,0.02406,0.397015,0.627903,0.506576,0.167521,0.756973,0.73763,1.0,0.767605,-0.059171,-0.032455,-0.144627,0.007523
Atsinanana,0.736336,0.493,0.615857,0.60329,0.302384,0.342896,0.55512,0.394196,0.486201,0.362886,0.732286,0.659695,0.503581,0.292223,0.586214,0.881742,0.767605,1.0,0.20213,0.293325,0.116552,0.196028
Androy,0.063809,0.089055,0.050654,0.144703,-0.035398,-0.176606,0.295775,0.725582,0.534466,0.722923,0.460123,0.100812,0.284147,0.267106,0.122105,0.076687,-0.059171,0.20213,1.0,0.914231,0.694651,0.28977
Anosy,0.150551,0.194289,0.194488,0.298497,-0.010325,-0.130507,0.450071,0.838915,0.687241,0.848446,0.608289,0.148149,0.264898,0.314255,0.140926,0.149789,-0.032455,0.293325,0.914231,1.0,0.670205,0.350477
Atsimo-Andrefana,0.045213,0.233965,0.159779,0.310688,-0.146134,-0.258257,0.482365,0.41609,0.709531,0.810106,0.302982,0.020099,0.272415,0.51155,0.008131,0.035971,-0.144627,0.116552,0.694651,0.670205,1.0,0.726076
Menabe,0.283669,0.654583,0.501223,0.655802,0.024692,-0.057081,0.731991,0.16979,0.752727,0.658105,0.239511,0.356397,0.532521,0.858354,0.227406,0.210214,0.007523,0.196028,0.28977,0.350477,0.726076,1.0
