,Analamanga,Bongolava,Itasy,Vakinankaratra,Diana,Sava,Amoron'i mania,Atsimo-Atsinana,Haute matsiatra,Ihorombe,Vatovavy Fitovinany,Betsiboka,Boeny,Melaky,Sofia,Alaotra-Mangoro,Analanjirofo,Atsinanana,Androy,Anosy,Atsimo-Andrefana,Menabe
Analamanga,1.0,0.837059,0.920956,0.857381,0.476324,0.606706,0.687,0.391847,0.447127,0.301982,0.74802,0.860289,0.681828,0.482586,0.659748,0.92392,0.765519,0.878966,0.063728,0.193099,0.019937,0.328804
Bongolava,0.837059,1.0,0.920046,0.865242,0.337426,0.443231,0.765619,0.405728,0.568972,0.428854,0.64466,0.828529,0.742552,0.706152,0.493838,0.681272,0.548105,0.633089,0.145061,0.283869,0.210097,0.58393
Itasy,0.920956,0.920046,1.0,0.942402,0.367334,0.464003,0.785525,0.389157,0.553781,0.375387,0.692917,0.773722,0.619119,0.527364,0.499053,0.76872,0.604942,0.773422,0.10904,0.248937,0.122954,0.463539
Vakinankaratra,0.857381,0.865242,0.942402,1.0,0.301883,0.409914,0.931353,0.530011,0.743178,0.5725,0.786573,0.680879,0.572597,0.566025,0.419181,0.730625,0.567197,0.782896,0.323774,0.443345,0.367783,0.626781
Diana,0.476324,0.337426,0.367334,0.301883,1.0,0.903335,0.189705,0.036352,0.059883,-0.024469,0.237669,0.423986,0.381675,0.150284,0.82076,0.511412,0.665429,0.358795,-0.056927,-0.053579,-0.186225,-0.139155
Sava,0.606706,0.443231,0.464003,0.409914,0.903335,1.0,0.280385,0.069891,0.097306,-0.003384,0.334172,0.561396,0.48151,0.25781,0.846402,0.668166,0.852018,0.514425,-0.067079,-0.050964,-0.156737,-0.044043
Amoron'i mania,0.687,0.765619,0.785525,0.931353,0.189705,0.280385,1.0,0.669067,0.914052,0.779875,0.806796,0.542068,0.517867,0.636752,0.273771,0.579242,0.41957,0.674865,0.51728,0.627741,0.612355,0.793871
Atsimo-Atsinana,0.391847,0.405728,0.389157,0.530011,0.036352,0.069891,0.669067,1.0,0.798295,0.896335,0.796974,0.332214,0.372174,0.487237,0.112962,0.36714,0.180874,0.499354,0.812514,0.906951,0.708069,0.632248
Haute matsiatra,0.447127,0.568972,0.553781,0.743178,0.059883,0.097306,0.914052,0.798295,1.0,0.931389,0.769864,0.330811,0.375941,0.613938,0.082746,0.365979,0.20971,0.50525,0.657974,0.777069,0.77835,0.845106
Ihorombe,0.301982,0.428854,0.375387,0.5725,-0.024469,-0.003384,0.779875,0.896335,0.931389,1.0,0.703956,0.230897,0.307166,0.53858,-0.03832,0.232339,0.075189,0.375603,0.825839,0.924555,0.887903,0.813374
Vatovavy Fitovinany,0.74802,0.64466,0.692917,0.786573,0.237669,0.334172,0.806796,0.796974,0.769864,0.703956,1.0,0.585441,0.573008,0.58466,0.380914,0.741876,0.518169,0.863093,0.47684,0.609878,0.427137,0.572955
Betsiboka,0.860289,0.828529,0.773722,0.680879,0.423986,0.561396,0.542068,0.332214,0.330811,0.230897,0.585441,1.0,0.892464,0.580735,0.732729,0.829784,0.731366,0.68368,0.004808,0.13815,-0.037849,0.308687
Boeny,0.681828,0.742552,0.619119,0.572597,0.381675,0.48151,0.517867,0.372174,0.375941,0.307166,0.573008,0.892464,1.0,0.73541,0.66935,0.672335,0.602672,0.570587,0.10771,0.222798,0.090262,0.421077
Melaky,0.482586,0.706152,0.527364,0.566025,0.150284,0.25781,0.636752,0.487237,0.613938,0.53858,0.58466,0.580735,0.73541,1.0,0.25388,0.42519,0.351927,0.447138,0.238735,0.385083,0.398412,0.762749
Sofia,0.659748,0.493838,0.499053,0.419181,0.82076,0.846402,0.273771,0.112962,0.082746,-0.03832,0.380914,0.732729,0.66935,0.25388,1.0,0.751137,0.842104,0.541402,-0.084137,-0.062356,-0.24799,-0.062504
Alaotra-Mangoro,0.92392,0.681272,0.76872,0.730625,0.511412,0.668166,0.579242,0.36714,0.365979,0.232339,0.741876,0.829784,0.672335,0.42519,0.751137,1.0,0.884185,0.92464,0.043186,0.151089,-0.046927,0.228971
Analanjirofo,0.765519,0.548105,0.604942,0.567197,0.665429,0.852018,0.41957,0.180874,0.20971,0.075189,0.518169,0.731366,0.602672,0.351927,0.842104,0.884185,1.0,0.753756,-0.060414,-0.003883,-0.128962,0.102461
Atsinanana,0.878966,0.633089,0.773422,0.782896,0.358795,0.514425,0.674865,0.499354,0.50525,0.375603,0.863093,0.68368,0.570587,0.447138,0.541402,0.92464,0.753756,1.0,0.178221,0.291261,0.101146,0.343748
Androy,0.063728,0.145061,0.10904,0.323774,-0.056927,-0.067079,0.51728,0.812514,0.657974,0.825839,0.47684,0.004808,0.10771,0.238735,-0.084137,0.043186,-0.060414,0.178221,1.0,0.954179,0.861918,0.582511
Anosy,0.193099,0.283869,0.248937,0.443345,-0.053579,-0.050964,0.627741,0.906951,0.777069,0.924555,0.609878,0.13815,0.222798,0.385083,-0.062356,0.151089,-0.003883,0.291261,0.954179,1.0,0.884612,0.694389
Atsimo-Andrefana,0.019937,0.210097,0.122954,0.367783,-0.186225,-0.156737,0.612355,0.708069,0.77835,0.887903,0.427137,-0.037849,0.090262,0.398412,-0.24799,-0.046927,-0.128962,0.101146,0.861918,0.884612,1.0,0.803913
Menabe,0.328804,0.58393,0.463539,0.626781,-0.139155,-0.044043,0.793871,0.632248,0.845106,0.813374,0.572955,0.308687,0.421077,0.762749,-0.062504,0.228971,0.102461,0.343748,0.582511,0.694389,0.803913,1.0
