,Analamanga,Bongolava,Itasy,Vakinankaratra,Diana,Sava,Amoron'i mania,Atsimo-Atsinana,Haute matsiatra,Ihorombe,Vatovavy Fitovinany,Betsiboka,Boeny,Melaky,Sofia,Alaotra-Mangoro,Analanjirofo,Atsinanana,Androy,Anosy,Atsimo-Andrefana,Menabe
Analamanga,1.0,0.784956,0.869981,0.811147,0.336303,0.337643,0.603287,0.377388,0.37865,0.234278,0.615238,0.838826,0.58551,0.374806,0.529404,0.902955,0.620589,0.814412,0.096459,0.195069,-0.050655,0.189458
Bongolava,0.784956,1.0,0.879888,0.842275,0.27737,0.246908,0.674894,0.25319,0.458497,0.279703,0.408304,0.791197,0.656139,0.657635,0.466978,0.607511,0.364534,0.510818,0.060205,0.149129,0.033958,0.452057
Itasy,0.869981,0.879888,1.0,0.904535,0.29833,0.265584,0.64722,0.294316,0.403204,0.209217,0.483825,0.712504,0.454832,0.383605,0.417699,0.685607,0.436585,0.668146,0.032945,0.148908,-0.073801,0.261521
Vakinankaratra,0.811147,0.842275,0.904535,1.0,0.119352,0.124235,0.881531,0.468899,0.648029,0.447885,0.632032,0.695126,0.534093,0.500795,0.357939,0.65258,0.41385,0.68287,0.256863,0.356359,0.184388,0.484741
Diana,0.336303,0.27737,0.29833,0.119352,1.0,0.897223,-0.039631,-0.05498,-0.180512,-0.225239,-0.002298,0.322774,0.283856,0.043006,0.767056,0.347803,0.532145,0.185419,-0.168192,-0.170904,-0.425964,-0.381237
Sava,0.337643,0.246908,0.265584,0.124235,0.897223,1.0,-0.011097,-0.067388,-0.189155,-0.254901,0.046818,0.38192,0.328677,0.028231,0.786827,0.409329,0.716918,0.280057,-0.215946,-0.223428,-0.434067,-0.358365
Amoron'i mania,0.603287,0.674894,0.64722,0.881531,-0.039631,-0.011097,1.0,0.667301,0.889466,0.730611,0.732044,0.570605,0.562916,0.603619,0.237917,0.479994,0.283851,0.5676,0.505151,0.607515,0.492092,0.683803
Atsimo-Atsinana,0.377388,0.25319,0.294316,0.468899,-0.05498,-0.067388,0.667301,1.0,0.782328,0.84053,0.813244,0.335469,0.349095,0.323428,0.103864,0.319064,0.147711,0.449416,0.755446,0.85817,0.577222,0.420368
Haute matsiatra,0.37865,0.458497,0.403204,0.648029,-0.180512,-0.189155,0.889466,0.782328,1.0,0.926774,0.699254,0.324741,0.383141,0.599369,0.000949,0.256293,0.065308,0.377091,0.662852,0.776887,0.723618,0.768622
Ihorombe,0.234278,0.279703,0.209217,0.447885,-0.225239,-0.254901,0.730611,0.84053,0.926774,1.0,0.628018,0.175293,0.25873,0.474749,-0.133627,0.129888,-0.06497,0.237771,0.82125,0.909526,0.850539,0.710878
Vatovavy Fitovinany,0.615238,0.408304,0.483825,0.632032,-0.002298,0.046818,0.732044,0.813244,0.699254,0.628018,1.0,0.523885,0.51334,0.368271,0.254255,0.606593,0.396053,0.755517,0.449628,0.578567,0.2799,0.303358
Betsiboka,0.838826,0.791197,0.712504,0.695126,0.322774,0.38192,0.570605,0.335469,0.324741,0.175293,0.523885,1.0,0.852505,0.498744,0.690162,0.826671,0.664623,0.695727,0.029145,0.125853,-0.105126,0.223826
Boeny,0.58551,0.656139,0.454832,0.534093,0.283856,0.328677,0.562916,0.349095,0.383141,0.25873,0.51334,0.852505,1.0,0.681645,0.659557,0.605584,0.514684,0.504788,0.119353,0.191352,0.032947,0.352819
Melaky,0.374806,0.657635,0.383605,0.500795,0.043006,0.028231,0.603619,0.323428,0.599369,0.474749,0.368271,0.498744,0.681645,1.0,0.24029,0.322509,0.152524,0.251925,0.187462,0.281143,0.344369,0.7624
Sofia,0.529404,0.466978,0.417699,0.357939,0.767056,0.786827,0.237917,0.103864,0.000949,-0.133627,0.254255,0.690162,0.659557,0.24029,1.0,0.642012,0.781115,0.474938,-0.099281,-0.103632,-0.361683,-0.147377
Alaotra-Mangoro,0.902955,0.607511,0.685607,0.65258,0.347803,0.409329,0.479994,0.319064,0.256293,0.129888,0.606593,0.826671,0.605584,0.322509,0.642012,1.0,0.795195,0.899519,0.030636,0.110541,-0.142923,0.094425
Analanjirofo,0.620589,0.364534,0.436585,0.41385,0.532145,0.716918,0.283851,0.147711,0.065308,-0.06497,0.396053,0.664623,0.514684,0.152524,0.781115,0.795195,1.0,0.731929,-0.123344,-0.088625,-0.296842,-0.090374
Atsinanana,0.814412,0.510818,0.668146,0.68287,0.185419,0.280057,0.5676,0.449416,0.377091,0.237771,0.755517,0.695727,0.504788,0.251925,0.474938,0.899519,0.731929,1.0,0.15006,0.242042,-0.035159,0.144173
Androy,0.096459,0.060205,0.032945,0.256863,-0.168192,-0.215946,0.505151,0.755446,0.662852,0.82125,0.449628,0.029145,0.119353,0.187462,-0.099281,0.030636,-0.123344,0.15006,1.0,0.954694,0.836336,0.480247
Anosy,0.195069,0.149129,0.148908,0.356359,-0.170904,-0.223428,0.607515,0.85817,0.776887,0.909526,0.578567,0.125853,0.191352,0.281143,-0.103632,0.110541,-0.088625,0.242042,0.954694,1.0,0.832587,0.544664
Atsimo-Andrefana,-0.050655,0.033958,-0.073801,0.184388,-0.425964,-0.434067,0.492092,0.577222,0.723618,0.850539,0.2799,-0.105126,0.032947,0.344369,-0.361683,-0.142923,-0.296842,-0.035159,0.836336,0.832587,1.0,0.740682
Menabe,0.189458,0.452057,0.261521,0.484741,-0.381237,-0.358365,0.683803,0.420368,0.768622,0.710878,0.303358,0.223826,0.352819,0.7624,-0.147377,0.094425,-0.090374,0.144173,0.480247,0.544664,0.740682,1.0
