,Analamanga,Bongolava,Itasy,Vakinankaratra,Diana,Sava,Amoron'i mania,Atsimo-Atsinana,Haute matsiatra,Ihorombe,Vatovavy Fitovinany,Betsiboka,Boeny,Melaky,Sofia,Alaotra-Mangoro,Analanjirofo,Atsinanana,Androy,Anosy,Atsimo-Andrefana,Menabe
Analamanga,1.0,0.77737,0.891877,0.845502,0.271361,0.326296,0.70217,0.382016,0.495255,0.319959,0.644859,0.840203,0.633298,0.513339,0.538558,0.905747,0.553475,0.787554,0.039454,0.213102,-0.049727,0.294221
Bongolava,0.77737,1.0,0.898629,0.885219,0.323178,0.31037,0.780849,0.221029,0.594054,0.408795,0.401075,0.780311,0.743019,0.808622,0.556148,0.608411,0.344264,0.461278,-0.003603,0.142717,0.062317,0.603301
Itasy,0.891877,0.898629,1.0,0.938099,0.374978,0.366204,0.770713,0.265937,0.549537,0.333004,0.516681,0.739463,0.594782,0.607443,0.53213,0.732686,0.448763,0.645514,-0.049127,0.126058,-0.03245,0.444764
Vakinankaratra,0.845502,0.885219,0.938099,1.0,0.266807,0.291853,0.929584,0.388298,0.734749,0.49211,0.647878,0.750732,0.685479,0.69532,0.532983,0.71542,0.450054,0.663293,0.047822,0.228235,0.091722,0.569441
Diana,0.271361,0.323178,0.374978,0.266807,1.0,0.904443,0.124975,-0.056131,-0.060887,-0.15253,0.035243,0.271742,0.248764,0.143492,0.738334,0.289709,0.519438,0.223152,-0.098185,-0.115258,-0.304306,-0.176441
Sava,0.326296,0.31037,0.366204,0.291853,0.904443,1.0,0.178909,-0.014338,-0.050047,-0.175443,0.14635,0.402037,0.345312,0.126778,0.795956,0.40005,0.712432,0.340056,-0.192884,-0.167745,-0.386244,-0.221823
Amoron'i mania,0.70217,0.780849,0.770713,0.929584,0.124975,0.178909,1.0,0.535463,0.900379,0.695655,0.723011,0.675598,0.699507,0.708769,0.448717,0.594956,0.37749,0.610456,0.242844,0.416223,0.315203,0.683006
Atsimo-Atsinana,0.382016,0.221029,0.265937,0.388298,-0.056131,-0.014338,0.535463,1.0,0.694527,0.771982,0.814415,0.33694,0.29369,0.263695,0.202095,0.366057,0.242713,0.485271,0.67125,0.805596,0.493335,0.310169
Haute matsiatra,0.495255,0.594054,0.549537,0.734749,-0.060887,-0.050047,0.900379,0.694527,1.0,0.905026,0.723687,0.46338,0.544706,0.65111,0.231763,0.394602,0.183438,0.471783,0.496301,0.649401,0.586422,0.756196
Ihorombe,0.319959,0.408795,0.333004,0.49211,-0.15253,-0.175443,0.695655,0.771982,0.905026,1.0,0.638482,0.257698,0.366791,0.519601,0.061381,0.210161,-0.001745,0.304784,0.750619,0.856572,0.804801,0.701837
Vatovavy Fitovinany,0.644859,0.401075,0.516681,0.647878,0.035243,0.14635,0.723011,0.814415,0.723687,0.638482,1.0,0.561729,0.504114,0.374881,0.37752,0.672249,0.487433,0.78122,0.384613,0.551744,0.252521,0.300395
Betsiboka,0.840203,0.780311,0.739463,0.750732,0.271742,0.402037,0.675598,0.33694,0.46338,0.257698,0.561729,1.0,0.857955,0.572424,0.70806,0.822687,0.667162,0.691215,-0.041067,0.097211,-0.116019,0.316055
Boeny,0.633298,0.743019,0.594782,0.685479,0.248764,0.345312,0.699507,0.29369,0.544706,0.366791,0.504114,0.857955,1.0,0.769996,0.66406,0.618141,0.526207,0.500064,0.061005,0.148611,0.084611,0.527754
Melaky,0.513339,0.808622,0.607443,0.69532,0.143492,0.126778,0.708769,0.263695,0.65111,0.519601,0.374881,0.572424,0.769996,1.0,0.388053,0.42807,0.211813,0.303877,0.131531,0.24018,0.315927,0.823725
Sofia,0.538558,0.556148,0.53213,0.532983,0.738334,0.795956,0.448717,0.202095,0.231763,0.061381,0.37752,0.70806,0.66406,0.388053,1.0,0.635877,0.776857,0.52923,-0.036356,0.00968,-0.212663,0.07842
Alaotra-Mangoro,0.905747,0.608411,0.732686,0.71542,0.289709,0.40005,0.594956,0.366057,0.394602,0.210161,0.672249,0.822687,0.618141,0.42807,0.635877,1.0,0.758117,0.905154,-0.017218,0.135999,-0.141707,0.184249
Analanjirofo,0.553475,0.344264,0.448763,0.450054,0.519438,0.712432,0.37749,0.242713,0.183438,-0.001745,0.487433,0.667162,0.526207,0.211813,0.776857,0.758117,1.0,0.754443,-0.141885,-0.065123,-0.290952,-0.029159
Atsinanana,0.787554,0.461278,0.645514,0.663293,0.223152,0.340056,0.610456,0.485271,0.471783,0.304784,0.78122,0.691215,0.500064,0.303877,0.52923,0.905154,0.754443,1.0,0.114569,0.26342,-0.028052,0.169173
Androy,0.039454,-0.003603,-0.049127,0.047822,-0.098185,-0.192884,0.242844,0.67125,0.496301,0.750619,0.384613,-0.041067,0.061005,0.131531,-0.036356,-0.017218,-0.141885,0.114569,1.0,0.943713,0.82281,0.322789
Anosy,0.213102,0.142717,0.126058,0.228235,-0.115258,-0.167745,0.416223,0.805596,0.649401,0.856572,0.551744,0.097211,0.148611,0.24018,0.00968,0.135999,-0.065123,0.26342,0.943713,1.0,0.797251,0.409224
Atsimo-Andrefana,-0.049727,0.062317,-0.03245,0.091722,-0.304306,-0.386244,0.315203,0.493335,0.586422,0.804801,0.252521,-0.116019,0.084611,0.315927,-0.212663,-0.141707,-0.290952,-0.028052,0.82281,0.797251,1.0,0.653171
Menabe,0.294221,0.603301,0.444764,0.569441,-0.176441,-0.221823,0.683006,0.310169,0.756196,0.701837,0.300395,0.316055,0.527754,0.823725,0.07842,0.184249,-0.029159,0.169173,0.322789,0.409224,0.653171,1.0
