,Analamanga,Bongolava,Itasy,Vakinankaratra,Diana,Sava,Amoron'i mania,Atsimo-Atsinana,Haute matsiatra,Ihorombe,Vatovavy Fitovinany,Betsiboka,Boeny,Melaky,Sofia,Alaotra-Mangoro,Analanjirofo,Atsinanana,Androy,Anosy,Atsimo-Andrefana,Menabe
Analamanga,1.0,0.792045,0.886771,0.813353,0.377061,0.412805,0.658155,0.336091,0.453181,0.292616,0.632285,0.857999,0.647406,0.462932,0.60113,0.909536,0.627123,0.804317,0.065863,0.187955,-0.008808,0.274038
Bongolava,0.792045,1.0,0.906034,0.870623,0.364274,0.360725,0.76298,0.246339,0.570682,0.398112,0.450564,0.803461,0.723028,0.737213,0.553884,0.624409,0.413656,0.524547,0.072679,0.192501,0.135084,0.573468
Itasy,0.886771,0.906034,1.0,0.92755,0.396139,0.387215,0.756373,0.285356,0.539112,0.341041,0.550869,0.754351,0.580114,0.530211,0.531526,0.721157,0.482876,0.675735,0.035878,0.179598,0.04412,0.417762
Vakinankaratra,0.813353,0.870623,0.92755,1.0,0.28431,0.298008,0.924854,0.424636,0.730322,0.523035,0.672146,0.714258,0.618936,0.614437,0.488761,0.675496,0.455759,0.683087,0.19329,0.331609,0.238645,0.584191
Diana,0.377061,0.364274,0.396139,0.28431,1.0,0.905925,0.152595,-0.022339,-0.016542,-0.092237,0.110463,0.377387,0.341873,0.139624,0.778725,0.363566,0.570529,0.267437,-0.089675,-0.087516,-0.265657,-0.168035
Sava,0.412805,0.360725,0.387215,0.298008,0.905925,1.0,0.177695,-0.021898,-0.027718,-0.125342,0.168759,0.448234,0.382379,0.14008,0.79865,0.456652,0.746422,0.369358,-0.163129,-0.143161,-0.308826,-0.170328
Amoron'i mania,0.658155,0.76298,0.756373,0.924854,0.152595,0.177695,1.0,0.576639,0.902675,0.73321,0.734183,0.610761,0.615375,0.671307,0.384822,0.542355,0.348128,0.60201,0.390263,0.525388,0.475504,0.723168
Atsimo-Atsinana,0.336091,0.246339,0.285356,0.424636,-0.022339,-0.021898,0.576639,1.0,0.723224,0.804389,0.802286,0.296464,0.309234,0.302616,0.142102,0.314865,0.165228,0.457059,0.741198,0.852408,0.548679,0.383144
Haute matsiatra,0.453181,0.570682,0.539112,0.730322,-0.016542,-0.027718,0.902675,0.723224,1.0,0.921353,0.726003,0.400004,0.470724,0.638359,0.17596,0.355742,0.156463,0.460081,0.587898,0.72265,0.69948,0.780663
Ihorombe,0.292616,0.398112,0.341041,0.523035,-0.092237,-0.125342,0.73321,0.804389,0.921353,1.0,0.655096,0.238528,0.340579,0.52721,0.033602,0.207554,0.008133,0.320261,0.780158,0.884775,0.838337,0.721049
Vatovavy Fitovinany,0.632285,0.450564,0.550869,0.672146,0.110463,0.168759,0.734183,0.802286,0.726003,0.655096,1.0,0.527809,0.499305,0.393995,0.354974,0.640827,0.449667,0.783029,0.442801,0.587119,0.315635,0.354055
Betsiboka,0.857999,0.803461,0.754351,0.714258,0.377387,0.448234,0.610761,0.296464,0.400004,0.238528,0.527809,1.0,0.867559,0.559459,0.735708,0.823867,0.672764,0.682579,0.023425,0.127341,-0.059724,0.301241
Boeny,0.647406,0.723028,0.580114,0.618936,0.341873,0.382379,0.615375,0.309234,0.470724,0.340579,0.499305,0.867559,1.0,0.741865,0.694602,0.625884,0.537535,0.519755,0.143054,0.206914,0.120059,0.458543
Melaky,0.462932,0.737213,0.530211,0.614437,0.139624,0.14008,0.671307,0.302616,0.638359,0.52721,0.393995,0.559459,0.741865,1.0,0.333731,0.389792,0.220946,0.323791,0.206208,0.305165,0.392564,0.801807
Sofia,0.60113,0.553884,0.531526,0.488761,0.778725,0.79865,0.384822,0.142102,0.17596,0.033602,0.354974,0.735708,0.694602,0.333731,1.0,0.667643,0.789262,0.532946,-0.024417,-0.003846,-0.203551,0.023986
Alaotra-Mangoro,0.909536,0.624409,0.721157,0.675496,0.363566,0.456652,0.542355,0.314865,0.355742,0.207554,0.640827,0.823867,0.625884,0.389792,0.667643,1.0,0.793782,0.902764,0.033323,0.136855,-0.073897,0.179465
Analanjirofo,0.627123,0.413656,0.482876,0.455759,0.570529,0.746422,0.348128,0.165228,0.156463,0.008133,0.449667,0.672764,0.537535,0.220946,0.789262,0.793782,1.0,0.751933,-0.096204,-0.047521,-0.215346,-0.002387
Atsinanana,0.804317,0.524547,0.675735,0.683087,0.267437,0.369358,0.60201,0.457059,0.460081,0.320261,0.783029,0.682579,0.519755,0.323791,0.532946,0.902764,0.751933,1.0,0.161245,0.272512,0.038622,0.21328
Androy,0.065863,0.072679,0.035878,0.19329,-0.089675,-0.163129,0.390263,0.741198,0.587898,0.780158,0.442801,0.023425,0.143054,0.206208,-0.024417,0.033323,-0.096204,0.161245,1.0,0.941704,0.803929,0.418829
Anosy,0.187955,0.192501,0.179598,0.331609,-0.087516,-0.143161,0.525388,0.852408,0.72265,0.884775,0.587119,0.127341,0.206914,0.305165,-0.003846,0.136855,-0.047521,0.272512,0.941704,1.0,0.796164,0.499688
Atsimo-Andrefana,-0.008808,0.135084,0.04412,0.238645,-0.265657,-0.308826,0.475504,0.548679,0.69948,0.838337,0.315635,-0.059724,0.120059,0.392564,-0.203551,-0.073897,-0.215346,0.038622,0.803929,0.796164,1.0,0.730961
Menabe,0.274038,0.573468,0.417762,0.584191,-0.168035,-0.170328,0.723168,0.383144,0.780663,0.721049,0.354055,0.301241,0.458543,0.801807,0.023986,0.179465,-0.002387,0.21328,0.418829,0.499688,0.730961,1.0
