Year,MaxAge,Male,Female
1950,0,0.041268,0.036116
1950,4,0.020852,0.020634
1950,9,0.008959,0.00979
1950,14,0.006689,0.0071
1950,19,0.008752,0.008131
1950,24,0.010623,0.009374
1950,29,0.01125,0.010832
1950,34,0.012299,0.012719
1950,39,0.014621,0.014197
1950,44,0.017395,0.015259
1950,49,0.021287,0.017395
1950,54,0.027021,0.02238
1950,59,0.036116,0.031299
1950,64,0.050684,0.046292
1950,69,0.074778,0.069917
1950,74,0.112051,0.104461
1950,79,0.163734,0.152197
1950,84,0.243969,0.215048
1950,89,0.319433,0.29432
1950,94,0.402741,0.361647
1950,99,0.469543,0.430321
1950,104,0.510862,0.482822
1950,109,0.552231,0.529732
1950,114,0.580445,0.562655
1950,119,0.601893,0.587108
1950,120,0.610194,0.601893
1955,0,0.038211,0.033581
1955,4,0.019333,0.018901
1955,9,0.008338,0.009167
1955,14,0.006278,0.006484
1955,19,0.008131,0.007512
1955,24,0.009998,0.008752
1955,29,0.010623,0.009998
1955,34,0.011669,0.011669
1955,39,0.013563,0.013141
1955,44,0.016324,0.014197
1955,49,0.019983,0.016324
1955,54,0.025243,0.020852
1955,59,0.03404,0.029489
1955,64,0.04799,0.043409
1955,69,0.070988,0.065942
1955,74,0.106648,0.098629
1955,79,0.156895,0.144592
1955,84,0.232104,0.204284
1955,89,0.305991,0.281114
1955,94,0.390665,0.348916
1955,99,0.457475,0.417609
1955,104,0.500803,0.472094
1955,109,0.542695,0.521824
1955,114,0.57418,0.55732
1955,119,0.594231,0.580445
1955,120,0.610194,0.601893
1960,0,0.035422,0.030845
1960,4,0.017395,0.016966
1960,9,0.007512,0.008338
1960,14,0.005664,0.005868
1960,19,0.007512,0.006894
1960,24,0.009167,0.007925
1960,29,0.00979,0.009374
1960,34,0.010623,0.010832
1960,39,0.012509,0.012089
1960,44,0.015046,0.013141
1960,49,0.01847,0.015259
1960,54,0.023477,0.01955
1960,59,0.031754,0.027468
1960,64,0.044846,0.040796
1960,69,0.066731,0.062034
1960,74,0.100149,0.093241
1960,79,0.147981,0.13761
1960,84,0.213997,0.195978
1960,89,0.301733,0.270923
1960,94,0.375482,0.338148
1960,99,0.446394,0.407532
1960,104,0.488538,0.464585
1960,109,0.533894,0.514407
1960,114,0.568264,0.552231
1960,119,0.594231,0.580445
1960,120,0.610194,0.601893
1965,0,0.032665,0.028589
1965,4,0.015684,0.015471
1965,9,0.006689,0.007512
1965,14,0.005051,0.005459
1965,19,0.006894,0.006278
1965,24,0.008545,0.007306
1965,29,0.008959,0.008545
1965,34,0.00979,0.00979
1965,39,0.01146,0.011041
1965,44,0.013774,0.012089
1965,49,0.016966,0.014197
1965,54,0.021942,0.01847
1965,59,0.029489,0.025908
1965,64,0.04198,0.038211
1965,69,0.062551,0.058698
1965,74,0.094427,0.088266
1965,79,0.140156,0.131198
1965,84,0.203786,0.188463
1965,89,0.291123,0.26262
1965,94,0.365302,0.330012
1965,99,0.43417,0.39963
1965,104,0.482822,0.457475
1965,109,0.529732,0.510862
1965,114,0.562655,0.552231
1965,119,0.587108,0.580445
1965,120,0.601893,0.594231
1970,0,0.029263,0.025686
1970,4,0.013774,0.013774
1970,9,0.005868,0.006689
1970,14,0.004643,0.004847
1970,19,0.006278,0.005664
1970,24,0.007718,0.006689
1970,29,0.008131,0.007925
1970,34,0.008959,0.008959
1970,39,0.010415,0.010206
1970,44,0.012509,0.01125
1970,49,0.015471,0.013141
1970,54,0.0202,0.016966
1970,59,0.027468,0.024358
1970,64,0.039147,0.036116
1970,69,0.058189,0.055158
1970,74,0.088556,0.083681
1970,79,0.132253,0.124969
1970,84,0.193599,0.180328
1970,89,0.278881,0.254028
1970,94,0.35343,0.321308
1970,99,0.42292,0.392123
