t,year,quarter,agentID,age,tenure_q,loc,isAg,attachment,layers,nLayers,agYF,subsistBase,subsistNow,inflator,grossIncome,sharedOut,netIncome,agIncomeYTD,wealth_start,wealth_end,wealth_expect,wealth_resid,layerIncome,prodBonus,sharedIn,income_expect,income_resid,TOD,inSouth,buffer,lastShortfall,trapped,exitReason
11,1987,3,9,36.2466275388993,11,19,1,0.105814546178561,cassava,1,0.7759818,1.75,2.14203185,1.2240182,0,0,0,0,-18.5588268985699,-20.7008587485699,-20.7008587485699,0,0,0,0,0,0,-9999,1,0.42,0,0,
11,1987,3,28,16.5698879284411,11,19,1,0.924177843510159,maize|cassava,2,0.7759818,1.75,2.14203185,1.2240182,5.66999924136585,0,5.66999924136585,5.66999924136585,-14.1277336297664,-10.5997662384005,-10.5997662384005,0,5.53710863414634,0.132890607219513,0,5.66999924136585,0,-9999,1,0.42,0,0,
11,1987,3,46,49.4708448812767,11,20,1,0.578894378941124,maize|industrial_crop,2,0.7791776,1.75,2.1364392,1.2208224,6.28749387093333,0,6.28749387093333,6.28749387093333,-15.5419956360276,-11.3909409650942,-11.3909409650942,0,6.14013073333333,0.1473631376,0,6.28749387093333,0,-9999,1,0.42,0,0,
11,1987,3,50,55.6764620163976,11,19,1,0.877685331511859,school|maize,2,0.7759818,1.75,2.14203185,1.2240182,5.66999924136585,0,5.66999924136585,5.66999924136585,-17.603970503147,-14.0760031117812,-14.0760031117812,0,5.53710863414634,0.132890607219513,0,5.66999924136585,0,-9999,1,0.42,0,0,
11,1987,3,56,39.9560544864367,11,20,1,0.729756550973948,school|maize,2,0.7791776,1.75,2.1364392,1.2208224,6.28749387093333,0,6.28749387093333,6.28749387093333,-16.9422135169843,-12.7911588460509,-12.7911588460509,0,6.14013073333333,0.1473631376,0,6.28749387093333,0,-9999,1,0.42,0,0,
11,1987,3,105,80.2788716683031,11,19,1,0.20789050317889,school|maize,2,0.7759818,1.75,2.14203185,1.2240182,5.66999924136585,0,5.66999924136585,5.66999924136585,-18.1586518759694,-14.6306844846035,-14.6306844846035,0,5.53710863414634,0.132890607219513,0,5.66999924136585,0,-9999,1,0.42,0,0,
11,1987,3,163,34.3329655817305,11,20,1,0.978698005003047,maize,1,0.7791776,1.75,2.1364392,1.2208224,6.28749387093333,0,6.28749387093333,6.28749387093333,-20.2684756086499,-16.1174209377166,-16.1174209377166,0,6.14013073333333,0.1473631376,0,6.28749387093333,0,-9999,1,0.42,0,0,
11,1987,3,170,48.722649384944,11,19,1,0.685331488336193,maize,1,0.7759818,1.75,2.14203185,1.2240182,5.66999924136585,0,5.66999924136585,5.66999924136585,-18.7427678968694,-15.2148005055036,-15.2148005055036,0,5.53710863414634,0.132890607219513,0,5.66999924136585,0,-9999,1,0.42,0,0,
11,1987,3,181,62.9501123345071,11,19,1,0.314742631653055,cassava,1,0.7759818,1.75,2.14203185,1.2240182,0,0,0,0,-16.7095209804894,-18.8515528304894,-18.8515528304894,0,0,0,0,0,0,-9999,1,0.42,0,0,
11,1987,3,209,67.5057126531355,11,21,1,0.254815585195161,school|maize,2,1,1.75,1.75,1,10.752,0,10.752,10.752,-10.384234318122,-1.38223431812198,-1.38223431812198,0,10.5,0.252000000000001,0,10.752,0,-9999,1,0.42,0,0,
12,1987,4,9,36.4966275388993,12,19,1,0.105814546178561,cassava,1,0.7759818,1.75,2.14203185,1.2240182,0,0,0,0,-20.7008587485699,-22.8428905985699,-22.8428905985699,0,0,0,0,0,0,-9999,1,0.42,0,1,
12,1987,4,28,16.8198879284411,12,19,1,0.924177843510159,maize|cassava,2,0.7759818,1.75,2.14203185,1.2240182,0,0,0,5.66999924136585,-10.5997662384005,-12.7417980884005,-12.7417980884005,0,0,0,0,0,0,-9999,1,0.42,0,0,
12,1987,4,46,49.7208448812767,12,20,1,0.578894378941124,unskilled1|maize|industrial_crop,3,0.7791776,1.75,2.1364392,1.2208224,0.357876666666667,0,0.357876666666667,6.28749387093333,-11.3909409650942,-13.1695034984276,-13.1695034984276,0,0.357876666666667,0,0,0.357876666666667,0,-9999,1,0.42,0,0,
12,1987,4,50,55.9264620163976,12,19,1,0.877685331511859,unskilled1|school|maize,3,0.7759818,1.75,2.14203185,1.2240182,0.337141232142857,0,0.337141232142857,5.66999924136585,-14.0760031117812,-15.8808937296383,-15.8808937296383,0,0.337141232142857,0,0,0.337141232142857,0,-9999,1,0.42,0,0,
12,1987,4,56,40.2060544864367,12,20,1,0.729756550973948,unskilled1|school|maize,3,0.7791776,1.75,2.1364392,1.2208224,0.357876666666667,0,0.357876666666667,6.28749387093333,-12.7911588460509,-14.5697213793843,-14.5697213793843,0,0.357876666666667,0,0,0.357876666666667,0,-9999,1,0.42,0,0,
12,1987,4,105,80.5288716683031,12,15,1,0.20789050317889,school|maize,2,1,1.75,1.75,1,0,0,0,5.66999924136585,-20.8974145624506,-22.6474145624506,-22.6474145624506,0,0,0,0,0,0,-9999,0,0.42,0,1,
12,1987,4,163,34.5829655817305,12,20,1,0.978698005003047,school|maize,2,0.7791776,1.75,2.1364392,1.2208224,0,0,0,6.28749387093333,-16.1174209377166,-18.2538601377166,-18.2538601377166,0,0,0,0,0,0,-9999,1,0.42,0,0,
12,1987,4,170,48.972649384944,12,19,1,0.685331488336193,maize,1,0.7759818,1.75,2.14203185,1.2240182,0,0,0,5.66999924136585,-15.2148005055036,-17.3568323555036,-17.3568323555036,0,0,0,0,0,0,-9999,1,0.42,0,0,
