year,agentID,loc,isAg,agYF,buf_start,after_mortality,after_growth,gap,drawdown,accrual,buf_end,wealth_start,wealth_end,ag_income,farmGranted
1985,8,21,1,1,0.6,0.6,0.672,0,0,0.528,1.2,7.08120048675603,14.7532984645789,15.6668299630381,1
1985,13,20,1,0.73293475,0.6,0.551928255,0.6181596456,0,0,0.5818403544,1.2,4.13985944289283,8.22007862662005,10.304229730212,1
1985,17,19,1,0.72212305,0.6,0.549982149,0.61598000688,0,0,0.0563020581599558,0.672282065039956,-0.826647362915376,-0.742194275675443,2.79034580899982,1
1985,22,20,1,0.73293475,0.6,0.551928255,0.6181596456,0,0,0.5818403544,1.2,0.634073703723214,1.91596460964973,5.64034926721086,1
1985,65,19,1,0.72212305,0.6,0.549982149,0.61598000688,0,0,0.58401999312,1.2,0.657470793013457,2.39121524812083,6.41869464704563,1
1985,77,20,1,0.73293475,0.6,0.551928255,0.6181596456,0,0,0.5818403544,1.2,7.06307827941032,16.7427622672275,19.6366710703619,1
1985,86,20,1,0.73293475,0.6,0.551928255,0.6181596456,0,0,0.5818403544,1.2,1.81641415770557,3.75381579402528,6.73286715119953,1
1985,100,21,1,1,0.6,0.6,0.672,0,0,0.528,1.2,1.49198101760328,3.03010796013128,5.44354490421333,1
1985,104,21,1,1,0.6,0.6,0.672,0,0,0.528,1.2,2.35933097879378,4.66940530996124,6.7301238852791,1
1985,109,19,1,0.72212305,0.6,0.549982149,0.61598000688,0,0,0.58401999312,1.2,4.65876930794454,9.08854860126354,10.912086044065,1
1985,110,21,1,1,0.6,0.6,0.672,0,0,0.528,1.2,0.338519307375839,2.05022439769494,5.73284181719851,1
1985,119,20,1,0.73293475,0.6,0.551928255,0.6181596456,0,0,0.5818403544,1.2,7.68717475207732,14.5633305846339,14.9641241449277,1
1985,151,21,1,1,0.6,0.6,0.672,0,0,0.528,1.2,6.74707526568833,13.8498542492408,14.7179649725874,1
1985,155,19,1,0.72212305,0.6,0.549982149,0.61598000688,0,0,0.187091810903642,0.803071817783642,-0.0812699558528501,0.199367760502613,3.33530311209851,1
1985,184,19,1,0.72212305,0.6,0.549982149,0.61598000688,0,0,0.58401999312,1.2,6.6270052693244,13.9058398016854,15.6605114424683,1
1985,8,21,1,1,1.2,1.2,1.2,0,0,0,1.2,14.7532984645789,20.6109708722725,11.762787346156,1
1985,13,20,1,0.73293475,1.2,1.10385651,1.2,0,0,0,1.2,8.22007862662005,11.8789336104407,8.63222213970103,1
1985,17,19,1,0.72212305,0.672282065039956,0.616238558108054,0.690187185081021,0,0,0.502148359012999,1.19233554409402,-0.742194275675443,0.0110282628440557,4.64803872922083,1
1985,22,21,1,1,1.2,1.2,1.2,0,0,0,1.2,1.91596460964973,4.65825240797313,6.83754491387233,1
1985,65,19,1,0.72212305,1.2,1.099964298,1.2,0,0,0,1.2,2.39121524812083,4.66315243780299,6.34231588280361,1
1985,104,19,0,0.72212305,1.2,1.099964298,1.2,0,0,0,1.2,4.66940530996124,7.16242391488657,6.43290795820889,1
1985,155,19,0,0.72212305,0.803071817783642,0.73612527357664,0.824460306405836,0,0,0,0.824460306405836,0.199367760502613,3.68508227288566,8.36527808730509,1
